domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,12,24995.00025,1199820.004500075
plasma,0,1,12,24995.000249999994,1199820.004500075
plasma,0,2,12,24995.00024999999,1199820.004500075
plasma,0,3,12,24995.000249999983,1199820.004500075
plasma,0,4,12,24995.00024999998,1199820.004500075
plasma,0,5,12,24995.000249999972,1199820.004500075
plasma,0,6,12,24995.00024999997,1199820.004500075
plasma,0,7,12,24995.00024999996,1199820.004500075
plasma,0,8,12,24995.000249999957,1199820.004500075
plasma,0,9,12,24995.00024999995,1199820.004500075
plasma,0,10,12,24995.00024999995,1199820.004500075
plasma,0,11,12,24995.000249999943,1199820.004500075
plasma,0,12,12,24995.00024999994,1199820.004500075
plasma,0,13,12,24995.000249999935,1199820.004500075
plasma,0,14,12,24995.000249999932,1199820.004500075
plasma,0,15,12,24995.000249999925,1199820.004500075
plasma,0,16,12,24995.000249999925,1199820.004500075
plasma,0,17,12,24995.00024999992,1199820.004500075
plasma,0,18,12,24995.000249999917,1199820.004500075
plasma,0,19,12,24995.000249999914,1199820.004500075
plasma,0,20,12,24995.000249999914,1199820.004500075
plasma,0,21,12,24995.000249999914,1199820.004500075
plasma,0,22,12,24995.000249999914,1199820.004500075
plasma,0,23,12,24995.00024999991,1199820.004500075
plasma,0,24,12,24995.00024999991,1199820.004500075
plasma,0,25,12,24995.00024999991,1199820.004500075
plasma,0,26,12,24995.00024999991,1199820.004500075
plasma,0,27,12,24995.00024999991,1199820.004500075
plasma,0,28,12,24995.000249999914,1199820.004500075
plasma,0,29,12,24995.000249999914,1199820.004500075
plasma,0,30,12,24995.000249999914,1199820.004500075
plasma,0,31,12,24995.000249999914,1199820.004500075
plasma,0,32,12,24995.000249999917,1199820.004500075
plasma,0,33,12,24995.00024999992,1199820.004500075
plasma,0,34,12,24995.000249999925,1199820.004500075
plasma,0,35,12,24995.000249999925,1199820.004500075
plasma,0,36,12,24995.000249999932,1199820.004500075
plasma,0,37,12,24995.000249999935,1199820.004500075
plasma,0,38,12,24995.00024999994,1199820.004500075
plasma,0,39,12,24995.000249999943,1199820.004500075
plasma,0,40,12,24995.00024999995,1199820.004500075
plasma,0,41,12,24995.00024999995,1199820.004500075
plasma,0,42,12,24995.000249999957,1199820.004500075
plasma,0,43,12,24995.00024999996,1199820.004500075
plasma,0,44,12,24995.00024999997,1199820.004500075
plasma,0,45,12,24995.000249999972,1199820.004500075
plasma,0,46,12,24995.00024999998,1199820.004500075
plasma,0,47,12,24995.000249999983,1199820.004500075
plasma,0,48,12,24995.00024999999,1199820.004500075
plasma,0,49,12,24995.000249999994,1199820.004500075
plasma,0,50,12,24995.00025,1199820.004500075
plasma,0,51,12,24995.00025000001,1199820.004500075
plasma,0,52,12,24995.000250000012,1199820.004500075
plasma,0,53,12,24995.00025000002,1199820.004500075
plasma,0,54,12,24995.000250000023,1199820.004500075
plasma,0,55,12,24995.00025000003,1199820.004500075
plasma,0,56,12,24995.000250000034,1199820.004500075
plasma,0,57,12,24995.00025000004,1199820.004500075
plasma,0,58,12,24995.000250000045,1199820.004500075
plasma,0,59,12,24995.000250000052,1199820.004500075
plasma,0,60,12,24995.000250000056,1199820.004500075
plasma,0,61,12,24995.000250000056,1199820.004500075
plasma,0,62,12,24995.000250000063,1199820.004500075
plasma,0,63,12,24995.000250000066,1199820.004500075
plasma,0,64,12,24995.000250000074,1199820.004500075
plasma,0,65,12,24995.000250000074,1199820.004500075
plasma,0,66,12,24995.000250000077,1199820.004500075
plasma,0,67,12,24995.000250000077,1199820.004500075
plasma,0,68,12,24995.000250000085,1199820.004500075
plasma,0,69,12,24995.000250000085,1199820.004500075
plasma,0,70,12,24995.00025000009,1199820.004500075
plasma,0,71,12,24995.00025000009,1199820.004500075
plasma,0,72,12,24995.00025000009,1199820.004500075
plasma,0,73,12,24995.00025000009,1199820.004500075
plasma,0,74,12,24995.00025000009,1199820.004500075
plasma,0,75,12,24995.00025000009,1199820.004500075
plasma,0,76,12,24995.00025000009,1199820.004500075
plasma,0,77,12,24995.00025000009,1199820.004500075
plasma,0,78,12,24995.00025000009,1199820.004500075
plasma,0,79,12,24995.00025000009,1199820.004500075
plasma,0,80,12,24995.00025000009,1199820.004500075
plasma,0,81,12,24995.000250000085,1199820.004500075
plasma,0,82,12,24995.000250000085,1199820.004500075
plasma,0,83,12,24995.000250000077,1199820.004500075
plasma,0,84,12,24995.000250000077,1199820.004500075
plasma,0,85,12,24995.000250000074,1199820.004500075
plasma,0,86,12,24995.000250000074,1199820.004500075
plasma,0,87,12,24995.000250000066,1199820.004500075
plasma,0,88,12,24995.000250000063,1199820.004500075
plasma,0,89,12,24995.000250000056,1199820.004500075
plasma,0,90,12,24995.000250000056,1199820.004500075
plasma,0,91,12,24995.000250000052,1199820.004500075
plasma,0,92,12,24995.000250000045,1199820.004500075
plasma,0,93,12,24995.00025000004,1199820.004500075
plasma,0,94,12,24995.000250000034,1199820.004500075
plasma,0,95,12,24995.00025000003,1199820.004500075
plasma,0,96,12,24995.000250000023,1199820.004500075
plasma,0,97,12,24995.00025000002,1199820.004500075
plasma,0,98,12,24995.000250000012,1199820.004500075
plasma,0,99,12,24995.00025000001,1199820.004500075
plasma,0,100,12,24995.00025,1199820.004500075
plasma,0,101,12,24995.000249999994,1199820.004500075
plasma,0,102,12,24995.00024999999,1199820.004500075
plasma,0,103,12,24995.000249999983,1199820.004500075
plasma,0,104,12,24995.00024999998,1199820.004500075
plasma,0,105,12,24995.000249999972,1199820.004500075
plasma,0,106,12,24995.00024999997,1199820.004500075
plasma,0,107,12,24995.00024999996,1199820.004500075
plasma,0,108,12,24995.000249999957,1199820.004500075
plasma,0,109,12,24995.00024999995,1199820.004500075
plasma,0,110,12,24995.00024999995,1199820.004500075
plasma,0,111,12,24995.000249999943,1199820.004500075
plasma,0,112,12,24995.00024999994,1199820.004500075
plasma,0,113,12,24995.000249999935,1199820.004500075
plasma,0,114,12,24995.000249999932,1199820.004500075
plasma,0,115,12,24995.000249999925,1199820.004500075
plasma,0,116,12,24995.000249999925,1199820.004500075
plasma,0,117,12,24995.00024999992,1199820.004500075
plasma,0,118,12,24995.000249999917,1199820.004500075
plasma,0,119,12,24995.000249999914,1199820.004500075
plasma,0,120,12,24995.000249999914,1199820.004500075
plasma,0,121,12,24995.000249999914,1199820.004500075
plasma,0,122,12,24995.000249999914,1199820.004500075
plasma,0,123,12,24995.00024999991,1199820.004500075
plasma,0,124,12,24995.00024999991,1199820.004500075
plasma,0,125,12,24995.00024999991,1199820.004500075
plasma,0,126,12,24995.00024999991,1199820.004500075
plasma,0,127,12,24995.00024999991,1199820.004500075
plasma,0,128,12,24995.000249999914,1199820.004500075
plasma,0,129,12,24995.000249999914,1199820.004500075
plasma,0,130,12,24995.000249999914,1199820.004500075
plasma,0,131,12,24995.000249999914,1199820.004500075
plasma,0,132,12,24995.000249999917,1199820.004500075
plasma,0,133,12,24995.00024999992,1199820.004500075
plasma,0,134,12,24995.000249999925,1199820.004500075
plasma,0,135,12,24995.000249999925,1199820.004500075
plasma,0,136,12,24995.000249999932,1199820.004500075
plasma,0,137,12,24995.000249999935,1199820.004500075
plasma,0,138,12,24995.00024999994,1199820.004500075
plasma,0,139,12,24995.000249999943,1199820.004500075
plasma,0,140,12,24995.00024999995,1199820.004500075
plasma,0,141,12,24995.00024999995,1199820.004500075
plasma,0,142,12,24995.000249999957,1199820.004500075
plasma,0,143,12,24995.00024999996,1199820.004500075
plasma,0,144,12,24995.00024999997,1199820.004500075
plasma,0,145,12,24995.000249999972,1199820.004500075
plasma,0,146,12,24995.00024999998,1199820.004500075
plasma,0,147,12,24995.000249999983,1199820.004500075
plasma,0,148,12,24995.00024999999,1199820.004500075
plasma,0,149,12,24995.000249999994,1199820.004500075
plasma,0,150,12,24995.00025,1199820.004500075
plasma,0,151,12,24995.00025000001,1199820.004500075
plasma,0,152,12,24995.000250000012,1199820.004500075
plasma,0,153,12,24995.00025000002,1199820.004500075
plasma,0,154,12,24995.000250000023,1199820.004500075
plasma,0,155,12,24995.00025000003,1199820.004500075
plasma,0,156,12,24995.000250000034,1199820.004500075
plasma,0,157,12,24995.00025000004,1199820.004500075
plasma,0,158,12,24995.000250000045,1199820.004500075
plasma,0,159,12,24995.000250000052,1199820.004500075
plasma,0,160,12,24995.000250000056,1199820.004500075
plasma,0,161,12,24995.000250000056,1199820.004500075
plasma,0,162,12,24995.000250000063,1199820.004500075
plasma,0,163,12,24995.000250000066,1199820.004500075
plasma,0,164,12,24995.000250000074,1199820.004500075
plasma,0,165,12,24995.000250000074,1199820.004500075
plasma,0,166,12,24995.000250000077,1199820.004500075
plasma,0,167,12,24995.000250000077,1199820.004500075
plasma,0,168,12,24995.000250000085,1199820.004500075
plasma,0,169,12,24995.000250000085,1199820.004500075
plasma,0,170,12,24995.00025000009,1199820.004500075
plasma,0,171,12,24995.00025000009,1199820.004500075
plasma,0,172,12,24995.00025000009,1199820.004500075
plasma,0,173,12,24995.00025000009,1199820.004500075
plasma,0,174,12,24995.00025000009,1199820.004500075
plasma,0,175,12,24995.00025000009,1199820.004500075
plasma,0,176,12,24995.00025000009,1199820.004500075
plasma,0,177,12,24995.00025000009,1199820.004500075
plasma,0,178,12,24995.00025000009,1199820.004500075
plasma,0,179,12,24995.00025000009,1199820.004500075
plasma,0,180,12,24995.00025000009,1199820.004500075
plasma,0,181,12,24995.000250000085,1199820.004500075
plasma,0,182,12,24995.000250000085,1199820.004500075
plasma,0,183,12,24995.000250000077,1199820.004500075
plasma,0,184,12,24995.000250000077,1199820.004500075
plasma,0,185,12,24995.000250000074,1199820.004500075
plasma,0,186,12,24995.000250000074,1199820.004500075
plasma,0,187,12,24995.000250000066,1199820.004500075
plasma,0,188,12,24995.000250000063,1199820.004500075
plasma,0,189,12,24995.000250000056,1199820.004500075
plasma,0,190,12,24995.000250000056,1199820.004500075
plasma,0,191,12,24995.000250000052,1199820.004500075
plasma,0,192,12,24995.000250000045,1199820.004500075
plasma,0,193,12,24995.00025000004,1199820.004500075
plasma,0,194,12,24995.000250000034,1199820.004500075
plasma,0,195,12,24995.00025000003,1199820.004500075
plasma,0,196,12,24995.000250000023,1199820.004500075
plasma,0,197,12,24995.00025000002,1199820.004500075
plasma,0,198,12,24995.000250000012,1199820.004500075
plasma,0,199,12,24995.00025000001,1199820.004500075
plasma,1,0,12,24980.004000000004,1199280.0720048007
plasma,1,1,12,24980.003999999983,1199280.0720048007
plasma,1,2,12,24980.00399999996,1199280.0720048007
plasma,1,3,12,24980.00399999994,1199280.0720048007
plasma,1,4,12,24980.003999999917,1199280.0720048007
plasma,1,5,12,24980.003999999895,1199280.0720048007
plasma,1,6,12,24980.003999999873,1199280.0720048007
