domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,2,3060.7984547974374,695895.6027359451
plasma,0,1,2,3060.7984547974406,695895.6027359451
plasma,0,2,2,3060.7984547974434,695895.6027359451
plasma,0,3,2,3060.7984547974456,695895.6027359451
plasma,0,4,2,3060.7984547974474,695895.6027359451
plasma,0,5,2,3060.7984547974497,695895.6027359451
plasma,0,6,2,3060.7984547974515,695895.6027359451
plasma,0,7,2,3060.798454797453,695895.6027359451
plasma,0,8,2,3060.7984547974543,695895.6027359451
plasma,0,9,2,3060.7984547974547,695895.6027359451
plasma,0,10,2,3060.798454797456,695895.6027359451
plasma,0,11,2,3060.798454797456,695895.6027359451
plasma,0,12,2,3060.798454797457,695895.6027359451
plasma,0,13,2,3060.798454797457,695895.6027359451
plasma,0,14,2,3060.798454797456,695895.6027359451
plasma,0,15,2,3060.798454797456,695895.6027359451
plasma,0,16,2,3060.7984547974547,695895.6027359451
plasma,0,17,2,3060.7984547974543,695895.6027359451
plasma,0,18,2,3060.798454797453,695895.6027359451
plasma,0,19,2,3060.7984547974515,695895.6027359451
plasma,0,20,2,3060.7984547974497,695895.6027359451
plasma,0,21,2,3060.7984547974474,695895.6027359451
plasma,0,22,2,3060.7984547974456,695895.6027359451
plasma,0,23,2,3060.7984547974434,695895.6027359451
plasma,0,24,2,3060.7984547974406,695895.6027359451
plasma,0,25,2,3060.7984547974374,695895.6027359451
plasma,0,26,2,3060.7984547974347,695895.6027359451
plasma,0,27,2,3060.798454797431,695895.6027359451
plasma,0,28,2,3060.798454797428,695895.6027359451
plasma,0,29,2,3060.7984547974243,695895.6027359451
plasma,0,30,2,3060.798454797421,695895.6027359451
plasma,0,31,2,3060.798454797417,695895.6027359451
plasma,0,32,2,3060.7984547974133,695895.6027359451
plasma,0,33,2,3060.7984547974092,695895.6027359451
plasma,0,34,2,3060.798454797405,695895.6027359451
plasma,0,35,2,3060.798454797401,695895.6027359451
plasma,0,36,2,3060.798454797397,695895.6027359451
plasma,0,37,2,3060.798454797393,695895.6027359451
plasma,0,38,2,3060.7984547973892,695895.6027359451
plasma,0,39,2,3060.798454797385,695895.6027359451
plasma,0,40,2,3060.798454797381,695895.6027359451
plasma,0,41,2,3060.798454797377,695895.6027359451
plasma,0,42,2,3060.798454797373,695895.6027359451
plasma,0,43,2,3060.798454797369,695895.6027359451
plasma,0,44,2,3060.7984547973647,695895.6027359451
plasma,0,45,2,3060.798454797361,695895.6027359451
plasma,0,46,2,3060.7984547973574,695895.6027359451
plasma,0,47,2,3060.798454797354,695895.6027359451
plasma,0,48,2,3060.7984547973506,695895.6027359451
plasma,0,49,2,3060.7984547973474,695895.6027359451
plasma,0,50,2,3060.7984547973447,695895.6027359451
plasma,0,51,2,3060.798454797342,695895.6027359451
plasma,0,52,2,3060.798454797339,695895.6027359451
plasma,0,53,2,3060.7984547973365,695895.6027359451
plasma,0,54,2,3060.798454797334,695895.6027359451
plasma,0,55,2,3060.7984547973324,695895.6027359451
plasma,0,56,2,3060.7984547973306,695895.6027359451
plasma,0,57,2,3060.798454797329,695895.6027359451
plasma,0,58,2,3060.798454797328,695895.6027359451
plasma,0,59,2,3060.798454797327,695895.6027359451
plasma,0,60,2,3060.798454797326,695895.6027359451
plasma,0,61,2,3060.7984547973256,695895.6027359451
plasma,0,62,2,3060.798454797325,695895.6027359451
plasma,0,63,2,3060.798454797325,695895.6027359451
plasma,0,64,2,3060.7984547973256,695895.6027359451
plasma,0,65,2,3060.798454797326,695895.6027359451
plasma,0,66,2,3060.798454797327,695895.6027359451
plasma,0,67,2,3060.798454797328,695895.6027359451
plasma,0,68,2,3060.798454797329,695895.6027359451
plasma,0,69,2,3060.7984547973306,695895.6027359451
plasma,0,70,2,3060.7984547973324,695895.6027359451
plasma,0,71,2,3060.798454797334,695895.6027359451
plasma,0,72,2,3060.7984547973365,695895.6027359451
plasma,0,73,2,3060.798454797339,695895.6027359451
plasma,0,74,2,3060.798454797342,695895.6027359451
plasma,0,75,2,3060.7984547973447,695895.6027359451
plasma,0,76,2,3060.7984547973474,695895.6027359451
plasma,0,77,2,3060.7984547973506,695895.6027359451
plasma,0,78,2,3060.798454797354,695895.6027359451
plasma,0,79,2,3060.7984547973574,695895.6027359451
plasma,0,80,2,3060.798454797361,695895.6027359451
plasma,0,81,2,3060.7984547973647,695895.6027359451
plasma,0,82,2,3060.798454797369,695895.6027359451
plasma,0,83,2,3060.798454797373,695895.6027359451
plasma,0,84,2,3060.798454797377,695895.6027359451
plasma,0,85,2,3060.798454797381,695895.6027359451
plasma,0,86,2,3060.798454797385,695895.6027359451
plasma,0,87,2,3060.7984547973892,695895.6027359451
plasma,0,88,2,3060.798454797393,695895.6027359451
plasma,0,89,2,3060.798454797397,695895.6027359451
plasma,0,90,2,3060.798454797401,695895.6027359451
plasma,0,91,2,3060.798454797405,695895.6027359451
plasma,0,92,2,3060.7984547974092,695895.6027359451
plasma,0,93,2,3060.7984547974133,695895.6027359451
plasma,0,94,2,3060.798454797417,695895.6027359451
plasma,0,95,2,3060.798454797421,695895.6027359451
plasma,0,96,2,3060.7984547974243,695895.6027359451
plasma,0,97,2,3060.798454797428,695895.6027359451
plasma,0,98,2,3060.798454797431,695895.6027359451
plasma,0,99,2,3060.7984547974347,695895.6027359451
plasma,0,100,2,3060.7984547974374,695895.6027359451
plasma,0,101,2,3060.7984547974406,695895.6027359451
plasma,0,102,2,3060.7984547974434,695895.6027359451
plasma,0,103,2,3060.7984547974456,695895.6027359451
plasma,0,104,2,3060.7984547974474,695895.6027359451
plasma,0,105,2,3060.7984547974497,695895.6027359451
plasma,0,106,2,3060.7984547974515,695895.6027359451
plasma,0,107,2,3060.798454797453,695895.6027359451
plasma,0,108,2,3060.7984547974543,695895.6027359451
plasma,0,109,2,3060.7984547974547,695895.6027359451
plasma,0,110,2,3060.798454797456,695895.6027359451
plasma,0,111,2,3060.798454797456,695895.6027359451
plasma,0,112,2,3060.798454797457,695895.6027359451
plasma,0,113,2,3060.798454797457,695895.6027359451
plasma,0,114,2,3060.798454797456,695895.6027359451
plasma,0,115,2,3060.798454797456,695895.6027359451
plasma,0,116,2,3060.7984547974547,695895.6027359451
plasma,0,117,2,3060.7984547974543,695895.6027359451
plasma,0,118,2,3060.798454797453,695895.6027359451
plasma,0,119,2,3060.7984547974515,695895.6027359451
plasma,0,120,2,3060.7984547974497,695895.6027359451
plasma,0,121,2,3060.7984547974474,695895.6027359451
plasma,0,122,2,3060.7984547974456,695895.6027359451
plasma,0,123,2,3060.7984547974434,695895.6027359451
plasma,0,124,2,3060.7984547974406,695895.6027359451
plasma,0,125,2,3060.7984547974374,695895.6027359451
plasma,0,126,2,3060.7984547974347,695895.6027359451
plasma,0,127,2,3060.798454797431,695895.6027359451
plasma,0,128,2,3060.798454797428,695895.6027359451
plasma,0,129,2,3060.7984547974243,695895.6027359451
plasma,0,130,2,3060.798454797421,695895.6027359451
plasma,0,131,2,3060.798454797417,695895.6027359451
plasma,0,132,2,3060.7984547974133,695895.6027359451
plasma,0,133,2,3060.7984547974092,695895.6027359451
plasma,0,134,2,3060.798454797405,695895.6027359451
plasma,0,135,2,3060.798454797401,695895.6027359451
plasma,0,136,2,3060.798454797397,695895.6027359451
plasma,0,137,2,3060.798454797393,695895.6027359451
plasma,0,138,2,3060.7984547973892,695895.6027359451
plasma,0,139,2,3060.798454797385,695895.6027359451
plasma,0,140,2,3060.798454797381,695895.6027359451
plasma,0,141,2,3060.798454797377,695895.6027359451
plasma,0,142,2,3060.798454797373,695895.6027359451
plasma,0,143,2,3060.798454797369,695895.6027359451
plasma,0,144,2,3060.7984547973647,695895.6027359451
plasma,0,145,2,3060.798454797361,695895.6027359451
plasma,0,146,2,3060.7984547973574,695895.6027359451
plasma,0,147,2,3060.798454797354,695895.6027359451
plasma,0,148,2,3060.7984547973506,695895.6027359451
plasma,0,149,2,3060.7984547973474,695895.6027359451
plasma,0,150,2,3060.7984547973447,695895.6027359451
plasma,0,151,2,3060.798454797342,695895.6027359451
plasma,0,152,2,3060.798454797339,695895.6027359451
plasma,0,153,2,3060.7984547973365,695895.6027359451
plasma,0,154,2,3060.798454797334,695895.6027359451
plasma,0,155,2,3060.7984547973324,695895.6027359451
plasma,0,156,2,3060.7984547973306,695895.6027359451
plasma,0,157,2,3060.798454797329,695895.6027359451
plasma,0,158,2,3060.798454797328,695895.6027359451
plasma,0,159,2,3060.798454797327,695895.6027359451
plasma,0,160,2,3060.798454797326,695895.6027359451
plasma,0,161,2,3060.7984547973256,695895.6027359451
plasma,0,162,2,3060.798454797325,695895.6027359451
plasma,0,163,2,3060.798454797325,695895.6027359451
plasma,0,164,2,3060.7984547973256,695895.6027359451
plasma,0,165,2,3060.798454797326,695895.6027359451
plasma,0,166,2,3060.798454797327,695895.6027359451
plasma,0,167,2,3060.798454797328,695895.6027359451
plasma,0,168,2,3060.798454797329,695895.6027359451
plasma,0,169,2,3060.7984547973306,695895.6027359451
plasma,0,170,2,3060.7984547973324,695895.6027359451
plasma,0,171,2,3060.798454797334,695895.6027359451
plasma,0,172,2,3060.7984547973365,695895.6027359451
plasma,0,173,2,3060.798454797339,695895.6027359451
plasma,0,174,2,3060.798454797342,695895.6027359451
plasma,0,175,2,3060.7984547973447,695895.6027359451
plasma,0,176,2,3060.7984547973474,695895.6027359451
plasma,0,177,2,3060.7984547973506,695895.6027359451
plasma,0,178,2,3060.798454797354,695895.6027359451
plasma,0,179,2,3060.7984547973574,695895.6027359451
plasma,0,180,2,3060.798454797361,695895.6027359451
plasma,0,181,2,3060.7984547973647,695895.6027359451
plasma,0,182,2,3060.798454797369,695895.6027359451
plasma,0,183,2,3060.798454797373,695895.6027359451
plasma,0,184,2,3060.798454797377,695895.6027359451
plasma,0,185,2,3060.798454797381,695895.6027359451
plasma,0,186,2,3060.798454797385,695895.6027359451
plasma,0,187,2,3060.7984547973892,695895.6027359451
plasma,0,188,2,3060.798454797393,695895.6027359451
plasma,0,189,2,3060.798454797397,695895.6027359451
plasma,0,190,2,3060.798454797401,695895.6027359451
plasma,0,191,2,3060.798454797405,695895.6027359451
plasma,0,192,2,3060.7984547974092,695895.6027359451
plasma,0,193,2,3060.7984547974133,695895.6027359451
plasma,0,194,2,3060.798454797417,695895.6027359451
plasma,0,195,2,3060.798454797421,695895.6027359451
plasma,0,196,2,3060.7984547974243,695895.6027359451
plasma,0,197,2,3060.798454797428,695895.6027359451
plasma,0,198,2,3060.798454797431,695895.6027359451
plasma,0,199,2,3060.7984547974347,695895.6027359451
plasma,1,0,2,3058.962067585384,695582.4419941361
plasma,1,1,2,3058.962067585395,695582.4419941361
plasma,1,2,2,3058.962067585405,695582.4419941361
plasma,1,3,2,3058.9620675854144,695582.4419941361
plasma,1,4,2,3058.962067585423,695582.4419941361
plasma,1,5,2,3058.9620675854308,695582.4419941361
plasma,1,6,2,3058.9620675854376,695582.4419941361
plasma,1,7,2,3058.9620675854435,695582.4419941361
plasma,1,8,2,3058.9620675854485,695582.4419941361
plasma,1,9,2,3058.9620675854526,695582.4419941361
plasma,1,10,2,3058.9620675854553,695582.4419941361
plasma,1,11,2,3058.962067585457,695582.4419941361
plasma,1,12,2,3058.9620675854585,695582.4419941361
plasma,1,13,2,3058.9620675854585,695582.4419941361
plasma,1,14,2,3058.962067585457,695582.4419941361
plasma,1,15,2,3058.9620675854553,695582.4419941361
plasma,1,16,2,3058.9620675854526,695582.4419941361
plasma,1,17,2,3058.9620675854485,695582.4419941361
plasma,1,18,2,3058.9620675854435,695582.4419941361
plasma,1,19,2,3058.9620675854376,695582.4419941361
plasma,1,20,2,3058.9620675854308,695582.4419941361
plasma,1,21,2,3058.962067585423,695582.4419941361
plasma,1,22,2,3058.9620675854144,695582.4419941361
plasma,1,23,2,3058.962067585405,695582.4419941361
plasma,1,24,2,3058.962067585395,695582.4419941361
plasma,1,25,2,3058.962067585384,695582.4419941361
plasma,1,26,2,3058.9620675853716,695582.4419941361
plasma,1,27,2,3058.9620675853594,695582.4419941361
plasma,1,28,2,3058.9620675853466,695582.4419941361
plasma,1,29,2,3058.962067585333,695582.4419941361
plasma,1,30,2,3058.9620675853184,695582.4419941361
plasma,1,31,2,3058.9620675853043,695582.4419941361
plasma,1,32,2,3058.9620675852893,695582.4419941361
plasma,1,33,2,3058.962067585274,695582.4419941361
plasma,1,34,2,3058.962067585258,695582.4419941361
plasma,1,35,2,3058.9620675852425,695582.4419941361
plasma,1,36,2,3058.962067585226,695582.4419941361
plasma,1,37,2,3058.9620675852107,695582.4419941361
plasma,1,38,2,3058.9620675851943,695582.4419941361
plasma,1,39,2,3058.9620675851784,695582.4419941361
plasma,1,40,2,3058.9620675851625,695582.4419941361
plasma,1,41,2,3058.962067585147,695582.4419941361
plasma,1,42,2,3058.962067585131,695582.4419941361
plasma,1,43,2,3058.962067585116,695582.4419941361
plasma,1,44,2,3058.962067585101,695582.4419941361
plasma,1,45,2,3058.9620675850865,695582.4419941361
plasma,1,46,2,3058.962067585072,695582.4419941361
plasma,1,47,2,3058.9620675850583,695582.4419941361
plasma,1,48,2,3058.9620675850456,695582.4419941361
plasma,1,49,2,3058.962067585033,695582.4419941361
plasma,1,50,2,3058.9620675850215,695582.4419941361
plasma,1,51,2,3058.96206758501,695582.4419941361
plasma,1,52,2,3058.962067585,695582.4419941361
plasma,1,53,2,3058.9620675849906,695582.4419941361
plasma,1,54,2,3058.962067584982,695582.4419941361
plasma,1,55,2,3058.962067584974,695582.4419941361
plasma,1,56,2,3058.9620675849674,695582.4419941361
plasma,1,57,2,3058.962067584962,695582.4419941361
plasma,1,58,2,3058.9620675849565,695582.4419941361
plasma,1,59,2,3058.9620675849524,695582.4419941361
plasma,1,60,2,3058.9620675849496,695582.4419941361
plasma,1,61,2,3058.9620675849474,695582.4419941361
plasma,1,62,2,3058.9620675849465,695582.4419941361
plasma,1,63,2,3058.9620675849465,695582.4419941361
plasma,1,64,2,3058.9620675849474,695582.4419941361
plasma,1,65,2,3058.9620675849496,695582.4419941361
plasma,1,66,2,3058.9620675849524,695582.4419941361
plasma,1,67,2,3058.9620675849565,695582.4419941361
plasma,1,68,2,3058.962067584962,695582.4419941361
plasma,1,69,2,3058.9620675849674,695582.4419941361
plasma,1,70,2,3058.962067584974,695582.4419941361
plasma,1,71,2,3058.962067584982,695582.4419941361
plasma,1,72,2,3058.9620675849906,695582.4419941361
plasma,1,73,2,3058.962067585,695582.4419941361
plasma,1,74,2,3058.96206758501,695582.4419941361
plasma,1,75,2,3058.9620675850215,695582.4419941361
plasma,1,76,2,3058.962067585033,695582.4419941361
plasma,1,77,2,3058.9620675850456,695582.4419941361
plasma,1,78,2,3058.9620675850583,695582.4419941361
plasma,1,79,2,3058.962067585072,695582.4419941361
plasma,1,80,2,3058.9620675850865,695582.4419941361
plasma,1,81,2,3058.962067585101,695582.4419941361
plasma,1,82,2,3058.962067585116,695582.4419941361
plasma,1,83,2,3058.962067585131,695582.4419941361
plasma,1,84,2,3058.962067585147,695582.4419941361
plasma,1,85,2,3058.9620675851625,695582.4419941361
plasma,1,86,2,3058.9620675851784,695582.4419941361
