domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,12,7528.349402044043,911863.203514328
plasma,0,1,12,7528.349402044037,911863.203514328
plasma,0,2,12,7528.349402044029,911863.203514328
plasma,0,3,12,7528.349402044024,911863.203514328
plasma,0,4,12,7528.349402044018,911863.203514328
plasma,0,5,12,7528.34940204401,911863.203514328
plasma,0,6,12,7528.349402044005,911863.203514328
plasma,0,7,12,7528.349402043998,911863.203514328
plasma,0,8,12,7528.349402043993,911863.203514328
plasma,0,9,12,7528.349402043987,911863.203514328
plasma,0,10,12,7528.349402043982,911863.203514328
plasma,0,11,12,7528.349402043977,911863.203514328
plasma,0,12,12,7528.349402043972,911863.203514328
plasma,0,13,12,7528.349402043967,911863.203514328
plasma,0,14,12,7528.349402043963,911863.203514328
plasma,0,15,12,7528.349402043958,911863.203514328
plasma,0,16,12,7528.349402043956,911863.203514328
plasma,0,17,12,7528.349402043952,911863.203514328
plasma,0,18,12,7528.349402043948,911863.203514328
plasma,0,19,12,7528.349402043946,911863.203514328
plasma,0,20,12,7528.349402043944,911863.203514328
plasma,0,21,12,7528.349402043942,911863.203514328
plasma,0,22,12,7528.34940204394,911863.203514328
plasma,0,23,12,7528.349402043939,911863.203514328
plasma,0,24,12,7528.349402043939,911863.203514328
plasma,0,25,12,7528.349402043938,911863.203514328
plasma,0,26,12,7528.349402043939,911863.203514328
plasma,0,27,12,7528.349402043939,911863.203514328
plasma,0,28,12,7528.34940204394,911863.203514328
plasma,0,29,12,7528.349402043942,911863.203514328
plasma,0,30,12,7528.349402043944,911863.203514328
plasma,0,31,12,7528.349402043946,911863.203514328
plasma,0,32,12,7528.349402043948,911863.203514328
plasma,0,33,12,7528.349402043952,911863.203514328
plasma,0,34,12,7528.349402043956,911863.203514328
plasma,0,35,12,7528.349402043958,911863.203514328
plasma,0,36,12,7528.349402043963,911863.203514328
plasma,0,37,12,7528.349402043967,911863.203514328
plasma,0,38,12,7528.349402043972,911863.203514328
plasma,0,39,12,7528.349402043977,911863.203514328
plasma,0,40,12,7528.349402043982,911863.203514328
plasma,0,41,12,7528.349402043987,911863.203514328
plasma,0,42,12,7528.349402043993,911863.203514328
plasma,0,43,12,7528.349402043998,911863.203514328
plasma,0,44,12,7528.349402044005,911863.203514328
plasma,0,45,12,7528.34940204401,911863.203514328
plasma,0,46,12,7528.349402044018,911863.203514328
plasma,0,47,12,7528.349402044024,911863.203514328
plasma,0,48,12,7528.349402044029,911863.203514328
plasma,0,49,12,7528.349402044037,911863.203514328
plasma,0,50,12,7528.349402044043,911863.203514328
plasma,0,51,12,7528.349402044049,911863.203514328
plasma,0,52,12,7528.349402044057,911863.203514328
plasma,0,53,12,7528.349402044063,911863.203514328
plasma,0,54,12,7528.349402044069,911863.203514328
plasma,0,55,12,7528.349402044075,911863.203514328
plasma,0,56,12,7528.349402044081,911863.203514328
plasma,0,57,12,7528.3494020440885,911863.203514328
plasma,0,58,12,7528.349402044093,911863.203514328
plasma,0,59,12,7528.3494020440985,911863.203514328
plasma,0,60,12,7528.349402044105,911863.203514328
plasma,0,61,12,7528.34940204411,911863.203514328
plasma,0,62,12,7528.349402044115,911863.203514328
plasma,0,63,12,7528.3494020441185,911863.203514328
plasma,0,64,12,7528.349402044123,911863.203514328
plasma,0,65,12,7528.349402044127,911863.203514328
plasma,0,66,12,7528.349402044131,911863.203514328
plasma,0,67,12,7528.349402044135,911863.203514328
plasma,0,68,12,7528.349402044137,911863.203514328
plasma,0,69,12,7528.34940204414,911863.203514328
plasma,0,70,12,7528.349402044141,911863.203514328
plasma,0,71,12,7528.349402044143,911863.203514328
plasma,0,72,12,7528.349402044145,911863.203514328
plasma,0,73,12,7528.349402044147,911863.203514328
plasma,0,74,12,7528.349402044147,911863.203514328
plasma,0,75,12,7528.349402044147,911863.203514328
plasma,0,76,12,7528.349402044147,911863.203514328
plasma,0,77,12,7528.349402044147,911863.203514328
plasma,0,78,12,7528.349402044145,911863.203514328
plasma,0,79,12,7528.349402044143,911863.203514328
plasma,0,80,12,7528.349402044141,911863.203514328
plasma,0,81,12,7528.34940204414,911863.203514328
plasma,0,82,12,7528.349402044137,911863.203514328
plasma,0,83,12,7528.349402044135,911863.203514328
plasma,0,84,12,7528.349402044131,911863.203514328
plasma,0,85,12,7528.349402044127,911863.203514328
plasma,0,86,12,7528.349402044123,911863.203514328
plasma,0,87,12,7528.3494020441185,911863.203514328
plasma,0,88,12,7528.349402044115,911863.203514328
plasma,0,89,12,7528.34940204411,911863.203514328
plasma,0,90,12,7528.349402044105,911863.203514328
plasma,0,91,12,7528.3494020440985,911863.203514328
plasma,0,92,12,7528.349402044093,911863.203514328
plasma,0,93,12,7528.3494020440885,911863.203514328
plasma,0,94,12,7528.349402044081,911863.203514328
plasma,0,95,12,7528.349402044075,911863.203514328
plasma,0,96,12,7528.349402044069,911863.203514328
plasma,0,97,12,7528.349402044063,911863.203514328
plasma,0,98,12,7528.349402044057,911863.203514328
plasma,0,99,12,7528.349402044049,911863.203514328
plasma,0,100,12,7528.349402044043,911863.203514328
plasma,0,101,12,7528.349402044037,911863.203514328
plasma,0,102,12,7528.349402044029,911863.203514328
plasma,0,103,12,7528.349402044024,911863.203514328
plasma,0,104,12,7528.349402044018,911863.203514328
plasma,0,105,12,7528.34940204401,911863.203514328
plasma,0,106,12,7528.349402044005,911863.203514328
plasma,0,107,12,7528.349402043998,911863.203514328
plasma,0,108,12,7528.349402043993,911863.203514328
plasma,0,109,12,7528.349402043987,911863.203514328
plasma,0,110,12,7528.349402043982,911863.203514328
plasma,0,111,12,7528.349402043977,911863.203514328
plasma,0,112,12,7528.349402043972,911863.203514328
plasma,0,113,12,7528.349402043967,911863.203514328
plasma,0,114,12,7528.349402043963,911863.203514328
plasma,0,115,12,7528.349402043958,911863.203514328
plasma,0,116,12,7528.349402043956,911863.203514328
plasma,0,117,12,7528.349402043952,911863.203514328
plasma,0,118,12,7528.349402043948,911863.203514328
plasma,0,119,12,7528.349402043946,911863.203514328
plasma,0,120,12,7528.349402043944,911863.203514328
plasma,0,121,12,7528.349402043942,911863.203514328
plasma,0,122,12,7528.34940204394,911863.203514328
plasma,0,123,12,7528.349402043939,911863.203514328
plasma,0,124,12,7528.349402043939,911863.203514328
plasma,0,125,12,7528.349402043938,911863.203514328
plasma,0,126,12,7528.349402043939,911863.203514328
plasma,0,127,12,7528.349402043939,911863.203514328
plasma,0,128,12,7528.34940204394,911863.203514328
plasma,0,129,12,7528.349402043942,911863.203514328
plasma,0,130,12,7528.349402043944,911863.203514328
plasma,0,131,12,7528.349402043946,911863.203514328
plasma,0,132,12,7528.349402043948,911863.203514328
plasma,0,133,12,7528.349402043952,911863.203514328
plasma,0,134,12,7528.349402043956,911863.203514328
plasma,0,135,12,7528.349402043958,911863.203514328
plasma,0,136,12,7528.349402043963,911863.203514328
plasma,0,137,12,7528.349402043967,911863.203514328
plasma,0,138,12,7528.349402043972,911863.203514328
plasma,0,139,12,7528.349402043977,911863.203514328
plasma,0,140,12,7528.349402043982,911863.203514328
plasma,0,141,12,7528.349402043987,911863.203514328
plasma,0,142,12,7528.349402043993,911863.203514328
plasma,0,143,12,7528.349402043998,911863.203514328
plasma,0,144,12,7528.349402044005,911863.203514328
plasma,0,145,12,7528.34940204401,911863.203514328
plasma,0,146,12,7528.349402044018,911863.203514328
plasma,0,147,12,7528.349402044024,911863.203514328
plasma,0,148,12,7528.349402044029,911863.203514328
plasma,0,149,12,7528.349402044037,911863.203514328
plasma,0,150,12,7528.349402044043,911863.203514328
plasma,0,151,12,7528.349402044049,911863.203514328
plasma,0,152,12,7528.349402044057,911863.203514328
plasma,0,153,12,7528.349402044063,911863.203514328
plasma,0,154,12,7528.349402044069,911863.203514328
plasma,0,155,12,7528.349402044075,911863.203514328
plasma,0,156,12,7528.349402044081,911863.203514328
plasma,0,157,12,7528.3494020440885,911863.203514328
plasma,0,158,12,7528.349402044093,911863.203514328
plasma,0,159,12,7528.3494020440985,911863.203514328
plasma,0,160,12,7528.349402044105,911863.203514328
plasma,0,161,12,7528.34940204411,911863.203514328
plasma,0,162,12,7528.349402044115,911863.203514328
plasma,0,163,12,7528.3494020441185,911863.203514328
plasma,0,164,12,7528.349402044123,911863.203514328
plasma,0,165,12,7528.349402044127,911863.203514328
plasma,0,166,12,7528.349402044131,911863.203514328
plasma,0,167,12,7528.349402044135,911863.203514328
plasma,0,168,12,7528.349402044137,911863.203514328
plasma,0,169,12,7528.34940204414,911863.203514328
plasma,0,170,12,7528.349402044141,911863.203514328
plasma,0,171,12,7528.349402044143,911863.203514328
plasma,0,172,12,7528.349402044145,911863.203514328
plasma,0,173,12,7528.349402044147,911863.203514328
plasma,0,174,12,7528.349402044147,911863.203514328
plasma,0,175,12,7528.349402044147,911863.203514328
plasma,0,176,12,7528.349402044147,911863.203514328
plasma,0,177,12,7528.349402044147,911863.203514328
plasma,0,178,12,7528.349402044145,911863.203514328
plasma,0,179,12,7528.349402044143,911863.203514328
plasma,0,180,12,7528.349402044141,911863.203514328
plasma,0,181,12,7528.34940204414,911863.203514328
plasma,0,182,12,7528.349402044137,911863.203514328
plasma,0,183,12,7528.349402044135,911863.203514328
plasma,0,184,12,7528.349402044131,911863.203514328
plasma,0,185,12,7528.349402044127,911863.203514328
plasma,0,186,12,7528.349402044123,911863.203514328
plasma,0,187,12,7528.3494020441185,911863.203514328
plasma,0,188,12,7528.349402044115,911863.203514328
plasma,0,189,12,7528.34940204411,911863.203514328
plasma,0,190,12,7528.349402044105,911863.203514328
plasma,0,191,12,7528.3494020440985,911863.203514328
plasma,0,192,12,7528.349402044093,911863.203514328
plasma,0,193,12,7528.3494020440885,911863.203514328
plasma,0,194,12,7528.349402044081,911863.203514328
plasma,0,195,12,7528.349402044075,911863.203514328
plasma,0,196,12,7528.349402044069,911863.203514328
plasma,0,197,12,7528.349402044063,911863.203514328
plasma,0,198,12,7528.349402044057,911863.203514328
plasma,0,199,12,7528.349402044049,911863.203514328
plasma,1,0,12,7523.832618343656,911452.8548968772
plasma,1,1,12,7523.83261834363,911452.8548968772
plasma,1,2,12,7523.832618343605,911452.8548968772
plasma,1,3,12,7523.832618343579,911452.8548968772
plasma,1,4,12,7523.832618343555,911452.8548968772
plasma,1,5,12,7523.83261834353,911452.8548968772
plasma,1,6,12,7523.8326183435065,911452.8548968772
plasma,1,7,12,7523.832618343483,911452.8548968772
plasma,1,8,12,7523.83261834346,911452.8548968772
plasma,1,9,12,7523.832618343438,911452.8548968772
plasma,1,10,12,7523.832618343417,911452.8548968772
plasma,1,11,12,7523.8326183433965,911452.8548968772
plasma,1,12,12,7523.832618343378,911452.8548968772
plasma,1,13,12,7523.83261834336,911452.8548968772
plasma,1,14,12,7523.832618343344,911452.8548968772
plasma,1,15,12,7523.832618343327,911452.8548968772
plasma,1,16,12,7523.832618343313,911452.8548968772
plasma,1,17,12,7523.8326183433,911452.8548968772
plasma,1,18,12,7523.832618343289,911452.8548968772
plasma,1,19,12,7523.832618343278,911452.8548968772
plasma,1,20,12,7523.83261834327,911452.8548968772
plasma,1,21,12,7523.832618343263,911452.8548968772
plasma,1,22,12,7523.832618343257,911452.8548968772
plasma,1,23,12,7523.832618343253,911452.8548968772
plasma,1,24,12,7523.832618343251,911452.8548968772
plasma,1,25,12,7523.83261834325,911452.8548968772
plasma,1,26,12,7523.832618343251,911452.8548968772
plasma,1,27,12,7523.832618343253,911452.8548968772
plasma,1,28,12,7523.832618343257,911452.8548968772
plasma,1,29,12,7523.832618343263,911452.8548968772
plasma,1,30,12,7523.83261834327,911452.8548968772
plasma,1,31,12,7523.832618343278,911452.8548968772
plasma,1,32,12,7523.832618343289,911452.8548968772
plasma,1,33,12,7523.8326183433,911452.8548968772
plasma,1,34,12,7523.832618343313,911452.8548968772
plasma,1,35,12,7523.832618343327,911452.8548968772
plasma,1,36,12,7523.832618343344,911452.8548968772
plasma,1,37,12,7523.83261834336,911452.8548968772
plasma,1,38,12,7523.832618343378,911452.8548968772
plasma,1,39,12,7523.8326183433965,911452.8548968772
plasma,1,40,12,7523.832618343417,911452.8548968772
plasma,1,41,12,7523.832618343438,911452.8548968772
plasma,1,42,12,7523.83261834346,911452.8548968772
plasma,1,43,12,7523.832618343483,911452.8548968772
plasma,1,44,12,7523.8326183435065,911452.8548968772
plasma,1,45,12,7523.83261834353,911452.8548968772
plasma,1,46,12,7523.832618343555,911452.8548968772
plasma,1,47,12,7523.832618343579,911452.8548968772
plasma,1,48,12,7523.832618343605,911452.8548968772
plasma,1,49,12,7523.83261834363,911452.8548968772
plasma,1,50,12,7523.832618343656,911452.8548968772
plasma,1,51,12,7523.832618343681,911452.8548968772
plasma,1,52,12,7523.832618343706,911452.8548968772
plasma,1,53,12,7523.832618343731,911452.8548968772
plasma,1,54,12,7523.832618343756,911452.8548968772
plasma,1,55,12,7523.832618343781,911452.8548968772
plasma,1,56,12,7523.832618343804,911452.8548968772
plasma,1,57,12,7523.832618343828,911452.8548968772
plasma,1,58,12,7523.832618343851,911452.8548968772
plasma,1,59,12,7523.832618343873,911452.8548968772
plasma,1,60,12,7523.832618343895,911452.8548968772
plasma,1,61,12,7523.832618343915,911452.8548968772
plasma,1,62,12,7523.832618343933,911452.8548968772
plasma,1,63,12,7523.832618343951,911452.8548968772
plasma,1,64,12,7523.832618343968,911452.8548968772
plasma,1,65,12,7523.832618343983,911452.8548968772
plasma,1,66,12,7523.832618343999,911452.8548968772
plasma,1,67,12,7523.832618344011,911452.8548968772
plasma,1,68,12,7523.832618344023,911452.8548968772
plasma,1,69,12,7523.832618344033,911452.8548968772
plasma,1,70,12,7523.832618344041,911452.8548968772
plasma,1,71,12,7523.832618344049,911452.8548968772
plasma,1,72,12,7523.832618344055,911452.8548968772
plasma,1,73,12,7523.832618344059,911452.8548968772
plasma,1,74,12,7523.83261834406,911452.8548968772
plasma,1,75,12,7523.832618344061,911452.8548968772
plasma,1,76,12,7523.83261834406,911452.8548968772
plasma,1,77,12,7523.832618344059,911452.8548968772
plasma,1,78,12,7523.832618344055,911452.8548968772
plasma,1,79,12,7523.832618344049,911452.8548968772
plasma,1,80,12,7523.832618344041,911452.8548968772
plasma,1,81,12,7523.832618344033,911452.8548968772
plasma,1,82,12,7523.832618344023,911452.8548968772
plasma,1,83,12,7523.832618344011,911452.8548968772
