domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,1,24995.000250000085,1199820.004500075
plasma,0,1,1,24995.00025000009,1199820.004500075
plasma,0,2,1,24995.00025000009,1199820.004500075
plasma,0,3,1,24995.00025000009,1199820.004500075
plasma,0,4,1,24995.00025000009,1199820.004500075
plasma,0,5,1,24995.00025000009,1199820.004500075
plasma,0,6,1,24995.00025000009,1199820.004500075
plasma,0,7,1,24995.00025000009,1199820.004500075
plasma,0,8,1,24995.00025000009,1199820.004500075
plasma,0,9,1,24995.00025000009,1199820.004500075
plasma,0,10,1,24995.00025000009,1199820.004500075
plasma,0,11,1,24995.00025000009,1199820.004500075
plasma,0,12,1,24995.000250000085,1199820.004500075
plasma,0,13,1,24995.000250000085,1199820.004500075
plasma,0,14,1,24995.000250000085,1199820.004500075
plasma,0,15,1,24995.000250000077,1199820.004500075
plasma,0,16,1,24995.000250000074,1199820.004500075
plasma,0,17,1,24995.000250000074,1199820.004500075
plasma,0,18,1,24995.000250000066,1199820.004500075
plasma,0,19,1,24995.000250000063,1199820.004500075
plasma,0,20,1,24995.000250000063,1199820.004500075
plasma,0,21,1,24995.000250000056,1199820.004500075
plasma,0,22,1,24995.000250000052,1199820.004500075
plasma,0,23,1,24995.000250000045,1199820.004500075
plasma,0,24,1,24995.00025000004,1199820.004500075
plasma,0,25,1,24995.000250000034,1199820.004500075
plasma,0,26,1,24995.00025000003,1199820.004500075
plasma,0,27,1,24995.000250000023,1199820.004500075
plasma,0,28,1,24995.00025000002,1199820.004500075
plasma,0,29,1,24995.000250000012,1199820.004500075
plasma,0,30,1,24995.00025000001,1199820.004500075
plasma,0,31,1,24995.00025,1199820.004500075
plasma,0,32,1,24995.000249999994,1199820.004500075
plasma,0,33,1,24995.00024999999,1199820.004500075
plasma,0,34,1,24995.000249999983,1199820.004500075
plasma,0,35,1,24995.00024999998,1199820.004500075
plasma,0,36,1,24995.000249999972,1199820.004500075
plasma,0,37,1,24995.00024999997,1199820.004500075
plasma,0,38,1,24995.00024999996,1199820.004500075
plasma,0,39,1,24995.00024999996,1199820.004500075
plasma,0,40,1,24995.000249999954,1199820.004500075
plasma,0,41,1,24995.00024999995,1199820.004500075
plasma,0,42,1,24995.000249999943,1199820.004500075
plasma,0,43,1,24995.00024999994,1199820.004500075
plasma,0,44,1,24995.000249999935,1199820.004500075
