domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,8,10162.208746858576,983852.4037663466
plasma,0,1,8,10162.208746858576,983852.4037663466
plasma,0,2,8,10162.208746858576,983852.4037663466
plasma,0,3,8,10162.208746858578,983852.4037663466
plasma,0,4,8,10162.20874685858,983852.4037663466
plasma,0,5,8,10162.208746858581,983852.4037663466
plasma,0,6,8,10162.208746858583,983852.4037663466
plasma,0,7,8,10162.208746858587,983852.4037663466
plasma,0,8,8,10162.20874685859,983852.4037663466
plasma,0,9,8,10162.208746858594,983852.4037663466
plasma,0,10,8,10162.208746858598,983852.4037663466
plasma,0,11,8,10162.208746858603,983852.4037663466
plasma,0,12,8,10162.208746858607,983852.4037663466
plasma,0,13,8,10162.208746858612,983852.4037663466
plasma,0,14,8,10162.208746858618,983852.4037663466
plasma,0,15,8,10162.208746858623,983852.4037663466
plasma,0,16,8,10162.208746858629,983852.4037663466
plasma,0,17,8,10162.208746858636,983852.4037663466
plasma,0,18,8,10162.208746858641,983852.4037663466
plasma,0,19,8,10162.208746858649,983852.4037663466
plasma,0,20,8,10162.208746858656,983852.4037663466
plasma,0,21,8,10162.208746858661,983852.4037663466
plasma,0,22,8,10162.208746858669,983852.4037663466
plasma,0,23,8,10162.208746858676,983852.4037663466
plasma,0,24,8,10162.208746858683,983852.4037663466
plasma,0,25,8,10162.20874685869,983852.4037663466
plasma,0,26,8,10162.208746858698,983852.4037663466
plasma,0,27,8,10162.208746858703,983852.4037663466
plasma,0,28,8,10162.208746858712,983852.4037663466
plasma,0,29,8,10162.20874685872,983852.4037663466
plasma,0,30,8,10162.208746858727,983852.4037663466
plasma,0,31,8,10162.208746858734,983852.4037663466
plasma,0,32,8,10162.20874685874,983852.4037663466
plasma,0,33,8,10162.208746858747,983852.4037663466
plasma,0,34,8,10162.20874685875,983852.4037663466
plasma,0,35,8,10162.208746858758,983852.4037663466
plasma,0,36,8,10162.208746858763,983852.4037663466
plasma,0,37,8,10162.208746858769,983852.4037663466
plasma,0,38,8,10162.208746858774,983852.4037663466
plasma,0,39,8,10162.208746858778,983852.4037663466
plasma,0,40,8,10162.208746858783,983852.4037663466
plasma,0,41,8,10162.208746858787,983852.4037663466
plasma,0,42,8,10162.208746858792,983852.4037663466
plasma,0,43,8,10162.208746858794,983852.4037663466
plasma,0,44,8,10162.208746858796,983852.4037663466
plasma,0,45,8,10162.2087468588,983852.4037663466
plasma,0,46,8,10162.208746858802,983852.4037663466
plasma,0,47,8,10162.208746858803,983852.4037663466
plasma,0,48,8,10162.208746858803,983852.4037663466
plasma,0,49,8,10162.208746858805,983852.4037663466
plasma,0,50,8,10162.208746858805,983852.4037663466
plasma,0,51,8,10162.208746858805,983852.4037663466
plasma,0,52,8,10162.208746858803,983852.4037663466
plasma,0,53,8,10162.208746858803,983852.4037663466
plasma,0,54,8,10162.208746858802,983852.4037663466
plasma,0,55,8,10162.2087468588,983852.4037663466
plasma,0,56,8,10162.208746858796,983852.4037663466
plasma,0,57,8,10162.208746858794,983852.4037663466
plasma,0,58,8,10162.208746858792,983852.4037663466
plasma,0,59,8,10162.208746858787,983852.4037663466
plasma,0,60,8,10162.208746858783,983852.4037663466
plasma,0,61,8,10162.208746858778,983852.4037663466
plasma,0,62,8,10162.208746858774,983852.4037663466
plasma,0,63,8,10162.208746858769,983852.4037663466
plasma,0,64,8,10162.208746858763,983852.4037663466
plasma,0,65,8,10162.208746858758,983852.4037663466
plasma,0,66,8,10162.20874685875,983852.4037663466
plasma,0,67,8,10162.208746858747,983852.4037663466
plasma,0,68,8,10162.20874685874,983852.4037663466
plasma,0,69,8,10162.208746858734,983852.4037663466
plasma,0,70,8,10162.208746858727,983852.4037663466
plasma,0,71,8,10162.20874685872,983852.4037663466
plasma,0,72,8,10162.208746858712,983852.4037663466
plasma,0,73,8,10162.208746858703,983852.4037663466
plasma,0,74,8,10162.208746858698,983852.4037663466
plasma,0,75,8,10162.20874685869,983852.4037663466
plasma,0,76,8,10162.208746858683,983852.4037663466
plasma,0,77,8,10162.208746858676,983852.4037663466
plasma,0,78,8,10162.208746858669,983852.4037663466
plasma,0,79,8,10162.208746858661,983852.4037663466
plasma,0,80,8,10162.208746858656,983852.4037663466
plasma,0,81,8,10162.208746858649,983852.4037663466
plasma,0,82,8,10162.208746858641,983852.4037663466
plasma,0,83,8,10162.208746858636,983852.4037663466
plasma,0,84,8,10162.208746858629,983852.4037663466
plasma,0,85,8,10162.208746858623,983852.4037663466
plasma,0,86,8,10162.208746858618,983852.4037663466
plasma,0,87,8,10162.208746858612,983852.4037663466
plasma,0,88,8,10162.208746858607,983852.4037663466
plasma,0,89,8,10162.208746858603,983852.4037663466
plasma,0,90,8,10162.208746858598,983852.4037663466
plasma,0,91,8,10162.208746858594,983852.4037663466
plasma,0,92,8,10162.20874685859,983852.4037663466
plasma,0,93,8,10162.208746858587,983852.4037663466
plasma,0,94,8,10162.208746858583,983852.4037663466
plasma,0,95,8,10162.208746858581,983852.4037663466
plasma,0,96,8,10162.20874685858,983852.4037663466
plasma,0,97,8,10162.208746858578,983852.4037663466
plasma,0,98,8,10162.208746858576,983852.4037663466
plasma,0,99,8,10162.208746858576,983852.4037663466
plasma,0,100,8,10162.208746858576,983852.4037663466
plasma,0,101,8,10162.208746858576,983852.4037663466
plasma,0,102,8,10162.208746858576,983852.4037663466
plasma,0,103,8,10162.208746858578,983852.4037663466
plasma,0,104,8,10162.20874685858,983852.4037663466
plasma,0,105,8,10162.208746858581,983852.4037663466
plasma,0,106,8,10162.208746858583,983852.4037663466
plasma,0,107,8,10162.208746858587,983852.4037663466
plasma,0,108,8,10162.20874685859,983852.4037663466
plasma,0,109,8,10162.208746858594,983852.4037663466
plasma,0,110,8,10162.208746858598,983852.4037663466
plasma,0,111,8,10162.208746858603,983852.4037663466
plasma,0,112,8,10162.208746858607,983852.4037663466
plasma,0,113,8,10162.208746858612,983852.4037663466
plasma,0,114,8,10162.208746858618,983852.4037663466
plasma,0,115,8,10162.208746858623,983852.4037663466
plasma,0,116,8,10162.208746858629,983852.4037663466
plasma,0,117,8,10162.208746858636,983852.4037663466
plasma,0,118,8,10162.208746858641,983852.4037663466
plasma,0,119,8,10162.208746858649,983852.4037663466
plasma,0,120,8,10162.208746858656,983852.4037663466
plasma,0,121,8,10162.208746858661,983852.4037663466
plasma,0,122,8,10162.208746858669,983852.4037663466
plasma,0,123,8,10162.208746858676,983852.4037663466
plasma,0,124,8,10162.208746858683,983852.4037663466
plasma,0,125,8,10162.20874685869,983852.4037663466
plasma,0,126,8,10162.208746858698,983852.4037663466
plasma,0,127,8,10162.208746858703,983852.4037663466
plasma,0,128,8,10162.208746858712,983852.4037663466
plasma,0,129,8,10162.20874685872,983852.4037663466
plasma,0,130,8,10162.208746858727,983852.4037663466
plasma,0,131,8,10162.208746858734,983852.4037663466
plasma,0,132,8,10162.20874685874,983852.4037663466
plasma,0,133,8,10162.208746858747,983852.4037663466
plasma,0,134,8,10162.20874685875,983852.4037663466
plasma,0,135,8,10162.208746858758,983852.4037663466
plasma,0,136,8,10162.208746858763,983852.4037663466
plasma,0,137,8,10162.208746858769,983852.4037663466
plasma,0,138,8,10162.208746858774,983852.4037663466
plasma,0,139,8,10162.208746858778,983852.4037663466
plasma,0,140,8,10162.208746858783,983852.4037663466
plasma,0,141,8,10162.208746858787,983852.4037663466
plasma,0,142,8,10162.208746858792,983852.4037663466
plasma,0,143,8,10162.208746858794,983852.4037663466
plasma,0,144,8,10162.208746858796,983852.4037663466
plasma,0,145,8,10162.2087468588,983852.4037663466
plasma,0,146,8,10162.208746858802,983852.4037663466
plasma,0,147,8,10162.208746858803,983852.4037663466
plasma,0,148,8,10162.208746858803,983852.4037663466
plasma,0,149,8,10162.208746858805,983852.4037663466
plasma,0,150,8,10162.208746858805,983852.4037663466
plasma,0,151,8,10162.208746858805,983852.4037663466
plasma,0,152,8,10162.208746858803,983852.4037663466
plasma,0,153,8,10162.208746858803,983852.4037663466
plasma,0,154,8,10162.208746858802,983852.4037663466
plasma,0,155,8,10162.2087468588,983852.4037663466
plasma,0,156,8,10162.208746858796,983852.4037663466
plasma,0,157,8,10162.208746858794,983852.4037663466
plasma,0,158,8,10162.208746858792,983852.4037663466
plasma,0,159,8,10162.208746858787,983852.4037663466
plasma,0,160,8,10162.208746858783,983852.4037663466
plasma,0,161,8,10162.208746858778,983852.4037663466
plasma,0,162,8,10162.208746858774,983852.4037663466
plasma,0,163,8,10162.208746858769,983852.4037663466
plasma,0,164,8,10162.208746858763,983852.4037663466
plasma,0,165,8,10162.208746858758,983852.4037663466
plasma,0,166,8,10162.20874685875,983852.4037663466
plasma,0,167,8,10162.208746858747,983852.4037663466
plasma,0,168,8,10162.20874685874,983852.4037663466
plasma,0,169,8,10162.208746858734,983852.4037663466
plasma,0,170,8,10162.208746858727,983852.4037663466
plasma,0,171,8,10162.20874685872,983852.4037663466
plasma,0,172,8,10162.208746858712,983852.4037663466
