domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,9,10162.208746858585,983852.4037663466
plasma,0,1,9,10162.208746858581,983852.4037663466
plasma,0,2,9,10162.20874685858,983852.4037663466
plasma,0,3,9,10162.208746858578,983852.4037663466
plasma,0,4,9,10162.208746858576,983852.4037663466
plasma,0,5,9,10162.208746858576,983852.4037663466
plasma,0,6,9,10162.208746858576,983852.4037663466
plasma,0,7,9,10162.208746858576,983852.4037663466
plasma,0,8,9,10162.208746858576,983852.4037663466
plasma,0,9,9,10162.208746858578,983852.4037663466
plasma,0,10,9,10162.20874685858,983852.4037663466
plasma,0,11,9,10162.208746858581,983852.4037663466
plasma,0,12,9,10162.208746858583,983852.4037663466
plasma,0,13,9,10162.208746858585,983852.4037663466
plasma,0,14,9,10162.208746858589,983852.4037663466
plasma,0,15,9,10162.208746858592,983852.4037663466
plasma,0,16,9,10162.208746858598,983852.4037663466
plasma,0,17,9,10162.208746858601,983852.4037663466
plasma,0,18,9,10162.208746858605,983852.4037663466
plasma,0,19,9,10162.20874685861,983852.4037663466
plasma,0,20,9,10162.208746858616,983852.4037663466
plasma,0,21,9,10162.208746858621,983852.4037663466
plasma,0,22,9,10162.208746858627,983852.4037663466
plasma,0,23,9,10162.208746858634,983852.4037663466
plasma,0,24,9,10162.20874685864,983852.4037663466
plasma,0,25,9,10162.208746858647,983852.4037663466
plasma,0,26,9,10162.208746858654,983852.4037663466
plasma,0,27,9,10162.20874685866,983852.4037663466
plasma,0,28,9,10162.208746858667,983852.4037663466
plasma,0,29,9,10162.208746858674,983852.4037663466
plasma,0,30,9,10162.208746858681,983852.4037663466
plasma,0,31,9,10162.208746858689,983852.4037663466
plasma,0,32,9,10162.208746858694,983852.4037663466
plasma,0,33,9,10162.208746858703,983852.4037663466
plasma,0,34,9,10162.20874685871,983852.4037663466
plasma,0,35,9,10162.208746858718,983852.4037663466
plasma,0,36,9,10162.208746858725,983852.4037663466
plasma,0,37,9,10162.20874685873,983852.4037663466
plasma,0,38,9,10162.208746858738,983852.4037663466
plasma,0,39,9,10162.208746858745,983852.4037663466
plasma,0,40,9,10162.20874685875,983852.4037663466
plasma,0,41,9,10162.208746858756,983852.4037663466
plasma,0,42,9,10162.208746858763,983852.4037663466
plasma,0,43,9,10162.208746858767,983852.4037663466
plasma,0,44,9,10162.208746858774,983852.4037663466
plasma,0,45,9,10162.208746858778,983852.4037663466
plasma,0,46,9,10162.208746858783,983852.4037663466
plasma,0,47,9,10162.208746858787,983852.4037663466
plasma,0,48,9,10162.20874685879,983852.4037663466
plasma,0,49,9,10162.208746858794,983852.4037663466
plasma,0,50,9,10162.208746858796,983852.4037663466
plasma,0,51,9,10162.2087468588,983852.4037663466
plasma,0,52,9,10162.208746858802,983852.4037663466
plasma,0,53,9,10162.208746858803,983852.4037663466
plasma,0,54,9,10162.208746858803,983852.4037663466
plasma,0,55,9,10162.208746858805,983852.4037663466
plasma,0,56,9,10162.208746858805,983852.4037663466
plasma,0,57,9,10162.208746858805,983852.4037663466
plasma,0,58,9,10162.208746858805,983852.4037663466
plasma,0,59,9,10162.208746858803,983852.4037663466
plasma,0,60,9,10162.208746858802,983852.4037663466
plasma,0,61,9,10162.208746858802,983852.4037663466
plasma,0,62,9,10162.2087468588,983852.4037663466
plasma,0,63,9,10162.208746858794,983852.4037663466
plasma,0,64,9,10162.208746858792,983852.4037663466
plasma,0,65,9,10162.208746858787,983852.4037663466
plasma,0,66,9,10162.208746858785,983852.4037663466
plasma,0,67,9,10162.208746858782,983852.4037663466
plasma,0,68,9,10162.208746858776,983852.4037663466
plasma,0,69,9,10162.208746858769,983852.4037663466
plasma,0,70,9,10162.208746858765,983852.4037663466
plasma,0,71,9,10162.20874685876,983852.4037663466
plasma,0,72,9,10162.208746858754,983852.4037663466
plasma,0,73,9,10162.208746858747,983852.4037663466
plasma,0,74,9,10162.20874685874,983852.4037663466
plasma,0,75,9,10162.208746858734,983852.4037663466
plasma,0,76,9,10162.208746858727,983852.4037663466
plasma,0,77,9,10162.20874685872,983852.4037663466
plasma,0,78,9,10162.208746858712,983852.4037663466
plasma,0,79,9,10162.208746858707,983852.4037663466
plasma,0,80,9,10162.2087468587,983852.4037663466
plasma,0,81,9,10162.208746858692,983852.4037663466
plasma,0,82,9,10162.208746858685,983852.4037663466
plasma,0,83,9,10162.208746858678,983852.4037663466
plasma,0,84,9,10162.20874685867,983852.4037663466
plasma,0,85,9,10162.208746858663,983852.4037663466
plasma,0,86,9,10162.208746858656,983852.4037663466
plasma,0,87,9,10162.20874685865,983852.4037663466
plasma,0,88,9,10162.208746858643,983852.4037663466
plasma,0,89,9,10162.208746858636,983852.4037663466
plasma,0,90,9,10162.20874685863,983852.4037663466
plasma,0,91,9,10162.208746858623,983852.4037663466
plasma,0,92,9,10162.208746858618,983852.4037663466
plasma,0,93,9,10162.208746858614,983852.4037663466
plasma,0,94,9,10162.208746858609,983852.4037663466
plasma,0,95,9,10162.208746858603,983852.4037663466
plasma,0,96,9,10162.2087468586,983852.4037663466
plasma,0,97,9,10162.208746858594,983852.4037663466
plasma,0,98,9,10162.20874685859,983852.4037663466
plasma,0,99,9,10162.208746858589,983852.4037663466
plasma,0,100,9,10162.208746858585,983852.4037663466
plasma,0,101,9,10162.208746858581,983852.4037663466
plasma,0,102,9,10162.20874685858,983852.4037663466
plasma,0,103,9,10162.208746858578,983852.4037663466
plasma,0,104,9,10162.208746858576,983852.4037663466
plasma,0,105,9,10162.208746858576,983852.4037663466
plasma,0,106,9,10162.208746858576,983852.4037663466
plasma,0,107,9,10162.208746858576,983852.4037663466
plasma,0,108,9,10162.208746858576,983852.4037663466
plasma,0,109,9,10162.208746858578,983852.4037663466
plasma,0,110,9,10162.20874685858,983852.4037663466
plasma,0,111,9,10162.208746858581,983852.4037663466
plasma,0,112,9,10162.208746858583,983852.4037663466
plasma,0,113,9,10162.208746858585,983852.4037663466
plasma,0,114,9,10162.208746858589,983852.4037663466
plasma,0,115,9,10162.208746858592,983852.4037663466
plasma,0,116,9,10162.208746858598,983852.4037663466
plasma,0,117,9,10162.208746858601,983852.4037663466
plasma,0,118,9,10162.208746858605,983852.4037663466
plasma,0,119,9,10162.20874685861,983852.4037663466
plasma,0,120,9,10162.208746858616,983852.4037663466
plasma,0,121,9,10162.208746858621,983852.4037663466
plasma,0,122,9,10162.208746858627,983852.4037663466
