domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,8,7528.349402043938,911863.203514328
plasma,0,1,8,7528.349402043939,911863.203514328
plasma,0,2,8,7528.349402043939,911863.203514328
plasma,0,3,8,7528.34940204394,911863.203514328
plasma,0,4,8,7528.349402043942,911863.203514328
plasma,0,5,8,7528.349402043944,911863.203514328
plasma,0,6,8,7528.349402043946,911863.203514328
plasma,0,7,8,7528.349402043948,911863.203514328
plasma,0,8,8,7528.349402043952,911863.203514328
plasma,0,9,8,7528.349402043956,911863.203514328
plasma,0,10,8,7528.349402043958,911863.203514328
plasma,0,11,8,7528.349402043963,911863.203514328
plasma,0,12,8,7528.349402043967,911863.203514328
plasma,0,13,8,7528.349402043972,911863.203514328
plasma,0,14,8,7528.349402043977,911863.203514328
plasma,0,15,8,7528.349402043982,911863.203514328
plasma,0,16,8,7528.349402043987,911863.203514328
plasma,0,17,8,7528.349402043993,911863.203514328
plasma,0,18,8,7528.349402043998,911863.203514328
plasma,0,19,8,7528.349402044005,911863.203514328
plasma,0,20,8,7528.34940204401,911863.203514328
plasma,0,21,8,7528.349402044018,911863.203514328
plasma,0,22,8,7528.349402044024,911863.203514328
plasma,0,23,8,7528.349402044029,911863.203514328
plasma,0,24,8,7528.349402044037,911863.203514328
plasma,0,25,8,7528.349402044043,911863.203514328
plasma,0,26,8,7528.349402044049,911863.203514328
plasma,0,27,8,7528.349402044057,911863.203514328
plasma,0,28,8,7528.349402044063,911863.203514328
plasma,0,29,8,7528.349402044069,911863.203514328
plasma,0,30,8,7528.349402044075,911863.203514328
plasma,0,31,8,7528.349402044081,911863.203514328
plasma,0,32,8,7528.3494020440885,911863.203514328
plasma,0,33,8,7528.349402044093,911863.203514328
plasma,0,34,8,7528.3494020440985,911863.203514328
plasma,0,35,8,7528.349402044105,911863.203514328
plasma,0,36,8,7528.34940204411,911863.203514328
plasma,0,37,8,7528.349402044115,911863.203514328
plasma,0,38,8,7528.3494020441185,911863.203514328
plasma,0,39,8,7528.349402044123,911863.203514328
plasma,0,40,8,7528.349402044127,911863.203514328
plasma,0,41,8,7528.349402044131,911863.203514328
plasma,0,42,8,7528.349402044135,911863.203514328
plasma,0,43,8,7528.349402044137,911863.203514328
plasma,0,44,8,7528.34940204414,911863.203514328
plasma,0,45,8,7528.349402044141,911863.203514328
plasma,0,46,8,7528.349402044143,911863.203514328
plasma,0,47,8,7528.349402044145,911863.203514328
plasma,0,48,8,7528.349402044147,911863.203514328
plasma,0,49,8,7528.349402044147,911863.203514328
plasma,0,50,8,7528.349402044147,911863.203514328
plasma,0,51,8,7528.349402044147,911863.203514328
plasma,0,52,8,7528.349402044147,911863.203514328
plasma,0,53,8,7528.349402044145,911863.203514328
plasma,0,54,8,7528.349402044143,911863.203514328
plasma,0,55,8,7528.349402044141,911863.203514328
plasma,0,56,8,7528.34940204414,911863.203514328
plasma,0,57,8,7528.349402044137,911863.203514328
plasma,0,58,8,7528.349402044135,911863.203514328
plasma,0,59,8,7528.349402044131,911863.203514328
plasma,0,60,8,7528.349402044127,911863.203514328
plasma,0,61,8,7528.349402044123,911863.203514328
plasma,0,62,8,7528.3494020441185,911863.203514328
plasma,0,63,8,7528.349402044115,911863.203514328
plasma,0,64,8,7528.34940204411,911863.203514328
plasma,0,65,8,7528.349402044105,911863.203514328
plasma,0,66,8,7528.3494020440985,911863.203514328
plasma,0,67,8,7528.349402044093,911863.203514328
plasma,0,68,8,7528.3494020440885,911863.203514328
plasma,0,69,8,7528.349402044081,911863.203514328
plasma,0,70,8,7528.349402044075,911863.203514328
plasma,0,71,8,7528.349402044069,911863.203514328
plasma,0,72,8,7528.349402044063,911863.203514328
plasma,0,73,8,7528.349402044057,911863.203514328
plasma,0,74,8,7528.349402044049,911863.203514328
plasma,0,75,8,7528.349402044043,911863.203514328
plasma,0,76,8,7528.349402044037,911863.203514328
plasma,0,77,8,7528.349402044029,911863.203514328
plasma,0,78,8,7528.349402044024,911863.203514328
plasma,0,79,8,7528.349402044018,911863.203514328
plasma,0,80,8,7528.34940204401,911863.203514328
plasma,0,81,8,7528.349402044005,911863.203514328
plasma,0,82,8,7528.349402043998,911863.203514328
plasma,0,83,8,7528.349402043993,911863.203514328
plasma,0,84,8,7528.349402043987,911863.203514328
plasma,0,85,8,7528.349402043982,911863.203514328
plasma,0,86,8,7528.349402043977,911863.203514328
plasma,0,87,8,7528.349402043972,911863.203514328
plasma,0,88,8,7528.349402043967,911863.203514328
plasma,0,89,8,7528.349402043963,911863.203514328
plasma,0,90,8,7528.349402043958,911863.203514328
plasma,0,91,8,7528.349402043956,911863.203514328
plasma,0,92,8,7528.349402043952,911863.203514328
plasma,0,93,8,7528.349402043948,911863.203514328
plasma,0,94,8,7528.349402043946,911863.203514328
plasma,0,95,8,7528.349402043944,911863.203514328
plasma,0,96,8,7528.349402043942,911863.203514328
plasma,0,97,8,7528.34940204394,911863.203514328
plasma,0,98,8,7528.349402043939,911863.203514328
plasma,0,99,8,7528.349402043939,911863.203514328
plasma,0,100,8,7528.349402043938,911863.203514328
plasma,0,101,8,7528.349402043939,911863.203514328
plasma,0,102,8,7528.349402043939,911863.203514328
plasma,0,103,8,7528.34940204394,911863.203514328
plasma,0,104,8,7528.349402043942,911863.203514328
plasma,0,105,8,7528.349402043944,911863.203514328
