domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,4,1244.4277863015263,479928.0019240709
plasma,0,1,4,1244.4277863015286,479928.0019240709
plasma,0,2,4,1244.4277863015307,479928.0019240709
plasma,0,3,4,1244.4277863015332,479928.0019240709
plasma,0,4,4,1244.4277863015354,479928.0019240709
plasma,0,5,4,1244.4277863015377,479928.0019240709
plasma,0,6,4,1244.4277863015395,479928.0019240709
plasma,0,7,4,1244.4277863015418,479928.0019240709
plasma,0,8,4,1244.4277863015438,479928.0019240709
plasma,0,9,4,1244.4277863015457,479928.0019240709
plasma,0,10,4,1244.4277863015477,479928.0019240709
plasma,0,11,4,1244.4277863015495,479928.0019240709
plasma,0,12,4,1244.4277863015511,479928.0019240709
plasma,0,13,4,1244.427786301553,479928.0019240709
plasma,0,14,4,1244.4277863015543,479928.0019240709
plasma,0,15,4,1244.4277863015557,479928.0019240709
plasma,0,16,4,1244.427786301557,479928.0019240709
plasma,0,17,4,1244.4277863015582,479928.0019240709
plasma,0,18,4,1244.4277863015593,479928.0019240709
plasma,0,19,4,1244.42778630156,479928.0019240709
plasma,0,20,4,1244.427786301561,479928.0019240709
plasma,0,21,4,1244.4277863015614,479928.0019240709
plasma,0,22,4,1244.427786301562,479928.0019240709
plasma,0,23,4,1244.4277863015623,479928.0019240709
plasma,0,24,4,1244.4277863015625,479928.0019240709
plasma,0,25,4,1244.4277863015625,479928.0019240709
plasma,0,26,4,1244.4277863015625,479928.0019240709
plasma,0,27,4,1244.4277863015623,479928.0019240709
plasma,0,28,4,1244.427786301562,479928.0019240709
plasma,0,29,4,1244.4277863015614,479928.0019240709
plasma,0,30,4,1244.427786301561,479928.0019240709
plasma,0,31,4,1244.42778630156,479928.0019240709
plasma,0,32,4,1244.4277863015593,479928.0019240709
plasma,0,33,4,1244.4277863015582,479928.0019240709
plasma,0,34,4,1244.427786301557,479928.0019240709
plasma,0,35,4,1244.4277863015557,479928.0019240709
plasma,0,36,4,1244.4277863015543,479928.0019240709
plasma,0,37,4,1244.427786301553,479928.0019240709
plasma,0,38,4,1244.4277863015511,479928.0019240709
plasma,0,39,4,1244.4277863015495,479928.0019240709
plasma,0,40,4,1244.4277863015477,479928.0019240709
plasma,0,41,4,1244.4277863015457,479928.0019240709
plasma,0,42,4,1244.4277863015438,479928.0019240709
plasma,0,43,4,1244.4277863015418,479928.0019240709
plasma,0,44,4,1244.4277863015395,479928.0019240709
plasma,0,45,4,1244.4277863015377,479928.0019240709
plasma,0,46,4,1244.4277863015354,479928.0019240709
plasma,0,47,4,1244.4277863015332,479928.0019240709
plasma,0,48,4,1244.4277863015307,479928.0019240709
plasma,0,49,4,1244.4277863015286,479928.0019240709
plasma,0,50,4,1244.4277863015263,479928.0019240709
plasma,0,51,4,1244.427786301524,479928.0019240709
plasma,0,52,4,1244.4277863015218,479928.0019240709
plasma,0,53,4,1244.4277863015195,479928.0019240709
plasma,0,54,4,1244.4277863015175,479928.0019240709
plasma,0,55,4,1244.4277863015152,479928.0019240709
plasma,0,56,4,1244.427786301513,479928.0019240709
plasma,0,57,4,1244.4277863015109,479928.0019240709
plasma,0,58,4,1244.4277863015088,479928.0019240709
plasma,0,59,4,1244.4277863015068,479928.0019240709
plasma,0,60,4,1244.427786301505,479928.0019240709
plasma,0,61,4,1244.4277863015034,479928.0019240709
plasma,0,62,4,1244.4277863015016,479928.0019240709
plasma,0,63,4,1244.4277863015,479928.0019240709
plasma,0,64,4,1244.4277863014984,479928.0019240709
plasma,0,65,4,1244.427786301497,479928.0019240709
plasma,0,66,4,1244.4277863014956,479928.0019240709
plasma,0,67,4,1244.4277863014945,479928.0019240709
plasma,0,68,4,1244.4277863014934,479928.0019240709
plasma,0,69,4,1244.4277863014927,479928.0019240709
plasma,0,70,4,1244.4277863014918,479928.0019240709
plasma,0,71,4,1244.4277863014913,479928.0019240709
plasma,0,72,4,1244.4277863014906,479928.0019240709
plasma,0,73,4,1244.4277863014904,479928.0019240709
plasma,0,74,4,1244.4277863014902,479928.0019240709
plasma,0,75,4,1244.42778630149,479928.0019240709
plasma,0,76,4,1244.4277863014902,479928.0019240709
plasma,0,77,4,1244.4277863014904,479928.0019240709
plasma,0,78,4,1244.4277863014906,479928.0019240709
plasma,0,79,4,1244.4277863014913,479928.0019240709
plasma,0,80,4,1244.4277863014918,479928.0019240709
plasma,0,81,4,1244.4277863014927,479928.0019240709
plasma,0,82,4,1244.4277863014934,479928.0019240709
plasma,0,83,4,1244.4277863014945,479928.0019240709
plasma,0,84,4,1244.4277863014956,479928.0019240709
plasma,0,85,4,1244.427786301497,479928.0019240709
plasma,0,86,4,1244.4277863014984,479928.0019240709
plasma,0,87,4,1244.4277863015,479928.0019240709
plasma,0,88,4,1244.4277863015016,479928.0019240709
plasma,0,89,4,1244.4277863015034,479928.0019240709
plasma,0,90,4,1244.427786301505,479928.0019240709
plasma,0,91,4,1244.4277863015068,479928.0019240709
plasma,0,92,4,1244.4277863015088,479928.0019240709
plasma,0,93,4,1244.4277863015109,479928.0019240709
plasma,0,94,4,1244.427786301513,479928.0019240709
plasma,0,95,4,1244.4277863015152,479928.0019240709
plasma,0,96,4,1244.4277863015175,479928.0019240709
plasma,0,97,4,1244.4277863015195,479928.0019240709
plasma,0,98,4,1244.4277863015218,479928.0019240709
plasma,0,99,4,1244.427786301524,479928.0019240709
plasma,0,100,4,1244.4277863015263,479928.0019240709
plasma,0,101,4,1244.4277863015286,479928.0019240709
plasma,0,102,4,1244.4277863015307,479928.0019240709
plasma,0,103,4,1244.4277863015332,479928.0019240709
plasma,0,104,4,1244.4277863015354,479928.0019240709
plasma,0,105,4,1244.4277863015377,479928.0019240709
plasma,0,106,4,1244.4277863015395,479928.0019240709
plasma,0,107,4,1244.4277863015418,479928.0019240709
plasma,0,108,4,1244.4277863015438,479928.0019240709
plasma,0,109,4,1244.4277863015457,479928.0019240709
plasma,0,110,4,1244.4277863015477,479928.0019240709
plasma,0,111,4,1244.4277863015495,479928.0019240709
plasma,0,112,4,1244.4277863015511,479928.0019240709
plasma,0,113,4,1244.427786301553,479928.0019240709
plasma,0,114,4,1244.4277863015543,479928.0019240709
plasma,0,115,4,1244.4277863015557,479928.0019240709
plasma,0,116,4,1244.427786301557,479928.0019240709
plasma,0,117,4,1244.4277863015582,479928.0019240709
plasma,0,118,4,1244.4277863015593,479928.0019240709
plasma,0,119,4,1244.42778630156,479928.0019240709
plasma,0,120,4,1244.427786301561,479928.0019240709
plasma,0,121,4,1244.4277863015614,479928.0019240709
plasma,0,122,4,1244.427786301562,479928.0019240709
plasma,0,123,4,1244.4277863015623,479928.0019240709
