domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,5,24995.000249999965,1199820.004500075
plasma,0,1,5,24995.000249999972,1199820.004500075
plasma,0,2,5,24995.000249999975,1199820.004500075
plasma,0,3,5,24995.000249999983,1199820.004500075
plasma,0,4,5,24995.000249999986,1199820.004500075
plasma,0,5,5,24995.000249999994,1199820.004500075
plasma,0,6,5,24995.000249999997,1199820.004500075
plasma,0,7,5,24995.00025000001,1199820.004500075
plasma,0,8,5,24995.000250000012,1199820.004500075
plasma,0,9,5,24995.00025000002,1199820.004500075
plasma,0,10,5,24995.000250000023,1199820.004500075
plasma,0,11,5,24995.00025000003,1199820.004500075
plasma,0,12,5,24995.000250000034,1199820.004500075
plasma,0,13,5,24995.00025000004,1199820.004500075
plasma,0,14,5,24995.000250000045,1199820.004500075
plasma,0,15,5,24995.000250000052,1199820.004500075
plasma,0,16,5,24995.000250000052,1199820.004500075
plasma,0,17,5,24995.000250000056,1199820.004500075
plasma,0,18,5,24995.000250000063,1199820.004500075
plasma,0,19,5,24995.000250000066,1199820.004500075
plasma,0,20,5,24995.000250000066,1199820.004500075
plasma,0,21,5,24995.000250000074,1199820.004500075
plasma,0,22,5,24995.000250000077,1199820.004500075
plasma,0,23,5,24995.000250000077,1199820.004500075
plasma,0,24,5,24995.000250000085,1199820.004500075
plasma,0,25,5,24995.000250000085,1199820.004500075
plasma,0,26,5,24995.00025000009,1199820.004500075
plasma,0,27,5,24995.00025000009,1199820.004500075
plasma,0,28,5,24995.00025000009,1199820.004500075
plasma,0,29,5,24995.00025000009,1199820.004500075
plasma,0,30,5,24995.00025000009,1199820.004500075
plasma,0,31,5,24995.00025000009,1199820.004500075
plasma,0,32,5,24995.00025000009,1199820.004500075
plasma,0,33,5,24995.00025000009,1199820.004500075
plasma,0,34,5,24995.00025000009,1199820.004500075
plasma,0,35,5,24995.00025000009,1199820.004500075
plasma,0,36,5,24995.00025000009,1199820.004500075
plasma,0,37,5,24995.000250000085,1199820.004500075
plasma,0,38,5,24995.000250000085,1199820.004500075
plasma,0,39,5,24995.000250000085,1199820.004500075
plasma,0,40,5,24995.000250000077,1199820.004500075
plasma,0,41,5,24995.000250000074,1199820.004500075
plasma,0,42,5,24995.000250000074,1199820.004500075
plasma,0,43,5,24995.000250000066,1199820.004500075
plasma,0,44,5,24995.000250000063,1199820.004500075
plasma,0,45,5,24995.000250000063,1199820.004500075
plasma,0,46,5,24995.000250000056,1199820.004500075
plasma,0,47,5,24995.000250000052,1199820.004500075
plasma,0,48,5,24995.000250000045,1199820.004500075
plasma,0,49,5,24995.00025000004,1199820.004500075
plasma,0,50,5,24995.000250000034,1199820.004500075
plasma,0,51,5,24995.00025000003,1199820.004500075
plasma,0,52,5,24995.000250000023,1199820.004500075
plasma,0,53,5,24995.00025000002,1199820.004500075
plasma,0,54,5,24995.000250000012,1199820.004500075
plasma,0,55,5,24995.00025000001,1199820.004500075
plasma,0,56,5,24995.00025,1199820.004500075
plasma,0,57,5,24995.000249999994,1199820.004500075
plasma,0,58,5,24995.00024999999,1199820.004500075
plasma,0,59,5,24995.000249999983,1199820.004500075
plasma,0,60,5,24995.00024999998,1199820.004500075
plasma,0,61,5,24995.000249999972,1199820.004500075
plasma,0,62,5,24995.00024999997,1199820.004500075
plasma,0,63,5,24995.00024999996,1199820.004500075
plasma,0,64,5,24995.00024999996,1199820.004500075
plasma,0,65,5,24995.000249999954,1199820.004500075
plasma,0,66,5,24995.00024999995,1199820.004500075
plasma,0,67,5,24995.000249999943,1199820.004500075
plasma,0,68,5,24995.00024999994,1199820.004500075
plasma,0,69,5,24995.000249999935,1199820.004500075
plasma,0,70,5,24995.000249999932,1199820.004500075
plasma,0,71,5,24995.00024999993,1199820.004500075
plasma,0,72,5,24995.000249999925,1199820.004500075
plasma,0,73,5,24995.00024999992,1199820.004500075
plasma,0,74,5,24995.00024999992,1199820.004500075
plasma,0,75,5,24995.000249999917,1199820.004500075
plasma,0,76,5,24995.000249999914,1199820.004500075
plasma,0,77,5,24995.000249999914,1199820.004500075
plasma,0,78,5,24995.000249999914,1199820.004500075
plasma,0,79,5,24995.000249999914,1199820.004500075
plasma,0,80,5,24995.00024999991,1199820.004500075
plasma,0,81,5,24995.00024999991,1199820.004500075
plasma,0,82,5,24995.00024999991,1199820.004500075
plasma,0,83,5,24995.00024999991,1199820.004500075
plasma,0,84,5,24995.000249999914,1199820.004500075
plasma,0,85,5,24995.000249999914,1199820.004500075
plasma,0,86,5,24995.000249999914,1199820.004500075
plasma,0,87,5,24995.000249999914,1199820.004500075
plasma,0,88,5,24995.000249999917,1199820.004500075
plasma,0,89,5,24995.00024999992,1199820.004500075
plasma,0,90,5,24995.000249999925,1199820.004500075
plasma,0,91,5,24995.000249999925,1199820.004500075
plasma,0,92,5,24995.00024999993,1199820.004500075
plasma,0,93,5,24995.000249999935,1199820.004500075
plasma,0,94,5,24995.000249999935,1199820.004500075
plasma,0,95,5,24995.000249999943,1199820.004500075
plasma,0,96,5,24995.000249999946,1199820.004500075
plasma,0,97,5,24995.00024999995,1199820.004500075
plasma,0,98,5,24995.000249999957,1199820.004500075
plasma,0,99,5,24995.00024999996,1199820.004500075
plasma,0,100,5,24995.000249999965,1199820.004500075
plasma,0,101,5,24995.000249999972,1199820.004500075
plasma,0,102,5,24995.000249999975,1199820.004500075
plasma,0,103,5,24995.000249999983,1199820.004500075
plasma,0,104,5,24995.000249999986,1199820.004500075
plasma,0,105,5,24995.000249999994,1199820.004500075
plasma,0,106,5,24995.000249999997,1199820.004500075
plasma,0,107,5,24995.00025000001,1199820.004500075
plasma,0,108,5,24995.000250000012,1199820.004500075
