domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,10,10162.208746858609,983852.4037663466
plasma,0,1,10,10162.208746858605,983852.4037663466
plasma,0,2,10,10162.2087468586,983852.4037663466
plasma,0,3,10,10162.208746858596,983852.4037663466
plasma,0,4,10,10162.20874685859,983852.4037663466
plasma,0,5,10,10162.208746858589,983852.4037663466
plasma,0,6,10,10162.208746858585,983852.4037663466
plasma,0,7,10,10162.208746858581,983852.4037663466
plasma,0,8,10,10162.20874685858,983852.4037663466
plasma,0,9,10,10162.20874685858,983852.4037663466
plasma,0,10,10,10162.208746858578,983852.4037663466
plasma,0,11,10,10162.208746858576,983852.4037663466
plasma,0,12,10,10162.208746858576,983852.4037663466
plasma,0,13,10,10162.208746858576,983852.4037663466
plasma,0,14,10,10162.208746858576,983852.4037663466
plasma,0,15,10,10162.208746858578,983852.4037663466
plasma,0,16,10,10162.20874685858,983852.4037663466
plasma,0,17,10,10162.20874685858,983852.4037663466
plasma,0,18,10,10162.208746858581,983852.4037663466
plasma,0,19,10,10162.208746858585,983852.4037663466
plasma,0,20,10,10162.208746858589,983852.4037663466
plasma,0,21,10,10162.20874685859,983852.4037663466
plasma,0,22,10,10162.208746858596,983852.4037663466
plasma,0,23,10,10162.2087468586,983852.4037663466
plasma,0,24,10,10162.208746858605,983852.4037663466
plasma,0,25,10,10162.208746858609,983852.4037663466
plasma,0,26,10,10162.208746858614,983852.4037663466
plasma,0,27,10,10162.208746858621,983852.4037663466
plasma,0,28,10,10162.208746858627,983852.4037663466
plasma,0,29,10,10162.208746858632,983852.4037663466
plasma,0,30,10,10162.208746858638,983852.4037663466
plasma,0,31,10,10162.208746858645,983852.4037663466
plasma,0,32,10,10162.208746858652,983852.4037663466
plasma,0,33,10,10162.20874685866,983852.4037663466
plasma,0,34,10,10162.208746858665,983852.4037663466
plasma,0,35,10,10162.208746858672,983852.4037663466
plasma,0,36,10,10162.20874685868,983852.4037663466
plasma,0,37,10,10162.208746858687,983852.4037663466
plasma,0,38,10,10162.208746858694,983852.4037663466
plasma,0,39,10,10162.208746858701,983852.4037663466
plasma,0,40,10,10162.208746858709,983852.4037663466
plasma,0,41,10,10162.208746858716,983852.4037663466
plasma,0,42,10,10162.208746858721,983852.4037663466
plasma,0,43,10,10162.208746858729,983852.4037663466
plasma,0,44,10,10162.208746858736,983852.4037663466
plasma,0,45,10,10162.208746858743,983852.4037663466
plasma,0,46,10,10162.208746858749,983852.4037663466
plasma,0,47,10,10162.208746858756,983852.4037663466
plasma,0,48,10,10162.20874685876,983852.4037663466
plasma,0,49,10,10162.208746858767,983852.4037663466
plasma,0,50,10,10162.208746858772,983852.4037663466
plasma,0,51,10,10162.208746858776,983852.4037663466
plasma,0,52,10,10162.208746858782,983852.4037663466
plasma,0,53,10,10162.208746858785,983852.4037663466
plasma,0,54,10,10162.20874685879,983852.4037663466
plasma,0,55,10,10162.208746858792,983852.4037663466
plasma,0,56,10,10162.208746858796,983852.4037663466
plasma,0,57,10,10162.2087468588,983852.4037663466
plasma,0,58,10,10162.208746858802,983852.4037663466
plasma,0,59,10,10162.208746858803,983852.4037663466
plasma,0,60,10,10162.208746858803,983852.4037663466
plasma,0,61,10,10162.208746858805,983852.4037663466
plasma,0,62,10,10162.208746858805,983852.4037663466
plasma,0,63,10,10162.208746858805,983852.4037663466
plasma,0,64,10,10162.208746858805,983852.4037663466
plasma,0,65,10,10162.208746858803,983852.4037663466
plasma,0,66,10,10162.208746858803,983852.4037663466
plasma,0,67,10,10162.208746858802,983852.4037663466
plasma,0,68,10,10162.2087468588,983852.4037663466
plasma,0,69,10,10162.208746858796,983852.4037663466
plasma,0,70,10,10162.208746858792,983852.4037663466
plasma,0,71,10,10162.20874685879,983852.4037663466
plasma,0,72,10,10162.208746858785,983852.4037663466
plasma,0,73,10,10162.208746858782,983852.4037663466
plasma,0,74,10,10162.208746858776,983852.4037663466
plasma,0,75,10,10162.208746858772,983852.4037663466
plasma,0,76,10,10162.208746858767,983852.4037663466
plasma,0,77,10,10162.20874685876,983852.4037663466
plasma,0,78,10,10162.208746858756,983852.4037663466
plasma,0,79,10,10162.208746858749,983852.4037663466
plasma,0,80,10,10162.208746858743,983852.4037663466
plasma,0,81,10,10162.208746858736,983852.4037663466
plasma,0,82,10,10162.208746858729,983852.4037663466
plasma,0,83,10,10162.208746858721,983852.4037663466
plasma,0,84,10,10162.208746858716,983852.4037663466
plasma,0,85,10,10162.208746858709,983852.4037663466
plasma,0,86,10,10162.208746858701,983852.4037663466
plasma,0,87,10,10162.208746858694,983852.4037663466
plasma,0,88,10,10162.208746858687,983852.4037663466
plasma,0,89,10,10162.20874685868,983852.4037663466
plasma,0,90,10,10162.208746858672,983852.4037663466
plasma,0,91,10,10162.208746858665,983852.4037663466
plasma,0,92,10,10162.20874685866,983852.4037663466
plasma,0,93,10,10162.208746858652,983852.4037663466
plasma,0,94,10,10162.208746858645,983852.4037663466
plasma,0,95,10,10162.208746858638,983852.4037663466
plasma,0,96,10,10162.208746858632,983852.4037663466
plasma,0,97,10,10162.208746858627,983852.4037663466
plasma,0,98,10,10162.208746858621,983852.4037663466
plasma,0,99,10,10162.208746858614,983852.4037663466
plasma,0,100,10,10162.208746858609,983852.4037663466
plasma,0,101,10,10162.208746858605,983852.4037663466
plasma,0,102,10,10162.2087468586,983852.4037663466
plasma,0,103,10,10162.208746858596,983852.4037663466
plasma,0,104,10,10162.20874685859,983852.4037663466
plasma,0,105,10,10162.208746858589,983852.4037663466
plasma,0,106,10,10162.208746858585,983852.4037663466
plasma,0,107,10,10162.208746858581,983852.4037663466
plasma,0,108,10,10162.20874685858,983852.4037663466
plasma,0,109,10,10162.20874685858,983852.4037663466
plasma,0,110,10,10162.208746858578,983852.4037663466
plasma,0,111,10,10162.208746858576,983852.4037663466
plasma,0,112,10,10162.208746858576,983852.4037663466
plasma,0,113,10,10162.208746858576,983852.4037663466
plasma,0,114,10,10162.208746858576,983852.4037663466
plasma,0,115,10,10162.208746858578,983852.4037663466
plasma,0,116,10,10162.20874685858,983852.4037663466
plasma,0,117,10,10162.20874685858,983852.4037663466
plasma,0,118,10,10162.208746858581,983852.4037663466
plasma,0,119,10,10162.208746858585,983852.4037663466
plasma,0,120,10,10162.208746858589,983852.4037663466
plasma,0,121,10,10162.20874685859,983852.4037663466
plasma,0,122,10,10162.208746858596,983852.4037663466
plasma,0,123,10,10162.2087468586,983852.4037663466
plasma,0,124,10,10162.208746858605,983852.4037663466
plasma,0,125,10,10162.208746858609,983852.4037663466
plasma,0,126,10,10162.208746858614,983852.4037663466
plasma,0,127,10,10162.208746858621,983852.4037663466
plasma,0,128,10,10162.208746858627,983852.4037663466
plasma,0,129,10,10162.208746858632,983852.4037663466
plasma,0,130,10,10162.208746858638,983852.4037663466
plasma,0,131,10,10162.208746858645,983852.4037663466
plasma,0,132,10,10162.208746858652,983852.4037663466
plasma,0,133,10,10162.20874685866,983852.4037663466
plasma,0,134,10,10162.208746858665,983852.4037663466
plasma,0,135,10,10162.208746858672,983852.4037663466
plasma,0,136,10,10162.20874685868,983852.4037663466
plasma,0,137,10,10162.208746858687,983852.4037663466
plasma,0,138,10,10162.208746858694,983852.4037663466
plasma,0,139,10,10162.208746858701,983852.4037663466
plasma,0,140,10,10162.208746858709,983852.4037663466
plasma,0,141,10,10162.208746858716,983852.4037663466
plasma,0,142,10,10162.208746858721,983852.4037663466
plasma,0,143,10,10162.208746858729,983852.4037663466
plasma,0,144,10,10162.208746858736,983852.4037663466
plasma,0,145,10,10162.208746858743,983852.4037663466
plasma,0,146,10,10162.208746858749,983852.4037663466
plasma,0,147,10,10162.208746858756,983852.4037663466
plasma,0,148,10,10162.20874685876,983852.4037663466
plasma,0,149,10,10162.208746858767,983852.4037663466
plasma,0,150,10,10162.208746858772,983852.4037663466
plasma,0,151,10,10162.208746858776,983852.4037663466
plasma,0,152,10,10162.208746858782,983852.4037663466
plasma,0,153,10,10162.208746858785,983852.4037663466
plasma,0,154,10,10162.20874685879,983852.4037663466
plasma,0,155,10,10162.208746858792,983852.4037663466
plasma,0,156,10,10162.208746858796,983852.4037663466
plasma,0,157,10,10162.2087468588,983852.4037663466
plasma,0,158,10,10162.208746858802,983852.4037663466
plasma,0,159,10,10162.208746858803,983852.4037663466
plasma,0,160,10,10162.208746858803,983852.4037663466
plasma,0,161,10,10162.208746858805,983852.4037663466
plasma,0,162,10,10162.208746858805,983852.4037663466
plasma,0,163,10,10162.208746858805,983852.4037663466
plasma,0,164,10,10162.208746858805,983852.4037663466
plasma,0,165,10,10162.208746858803,983852.4037663466
plasma,0,166,10,10162.208746858803,983852.4037663466
plasma,0,167,10,10162.208746858802,983852.4037663466
plasma,0,168,10,10162.2087468588,983852.4037663466
plasma,0,169,10,10162.208746858796,983852.4037663466
plasma,0,170,10,10162.208746858792,983852.4037663466
plasma,0,171,10,10162.20874685879,983852.4037663466
plasma,0,172,10,10162.208746858785,983852.4037663466
plasma,0,173,10,10162.208746858782,983852.4037663466
plasma,0,174,10,10162.208746858776,983852.4037663466
plasma,0,175,10,10162.208746858772,983852.4037663466
plasma,0,176,10,10162.208746858767,983852.4037663466
plasma,0,177,10,10162.20874685876,983852.4037663466
plasma,0,178,10,10162.208746858756,983852.4037663466
plasma,0,179,10,10162.208746858749,983852.4037663466
plasma,0,180,10,10162.208746858743,983852.4037663466
plasma,0,181,10,10162.208746858736,983852.4037663466
plasma,0,182,10,10162.208746858729,983852.4037663466
plasma,0,183,10,10162.208746858721,983852.4037663466
plasma,0,184,10,10162.208746858716,983852.4037663466
plasma,0,185,10,10162.208746858709,983852.4037663466
plasma,0,186,10,10162.208746858701,983852.4037663466
plasma,0,187,10,10162.208746858694,983852.4037663466
plasma,0,188,10,10162.208746858687,983852.4037663466
plasma,0,189,10,10162.20874685868,983852.4037663466
plasma,0,190,10,10162.208746858672,983852.4037663466
plasma,0,191,10,10162.208746858665,983852.4037663466
plasma,0,192,10,10162.20874685866,983852.4037663466
plasma,0,193,10,10162.208746858652,983852.4037663466
plasma,0,194,10,10162.208746858645,983852.4037663466
plasma,0,195,10,10162.208746858638,983852.4037663466
plasma,0,196,10,10162.208746858632,983852.4037663466
plasma,0,197,10,10162.208746858627,983852.4037663466
plasma,0,198,10,10162.208746858621,983852.4037663466
plasma,0,199,10,10162.208746858614,983852.4037663466
plasma,1,0,10,10156.111726598492,983409.6591841151
plasma,1,1,10,10156.111726598474,983409.6591841151
plasma,1,2,10,10156.111726598456,983409.6591841151
plasma,1,3,10,10156.11172659844,983409.6591841151
plasma,1,4,10,10156.111726598425,983409.6591841151
plasma,1,5,10,10156.11172659841,983409.6591841151
plasma,1,6,10,10156.111726598398,983409.6591841151
plasma,1,7,10,10156.111726598388,983409.6591841151
plasma,1,8,10,10156.11172659838,983409.6591841151
plasma,1,9,10,10156.111726598372,983409.6591841151
plasma,1,10,10,10156.111726598368,983409.6591841151
plasma,1,11,10,10156.111726598365,983409.6591841151
plasma,1,12,10,10156.111726598363,983409.6591841151
plasma,1,13,10,10156.111726598363,983409.6591841151
plasma,1,14,10,10156.111726598365,983409.6591841151
plasma,1,15,10,10156.111726598368,983409.6591841151
plasma,1,16,10,10156.111726598372,983409.6591841151
plasma,1,17,10,10156.11172659838,983409.6591841151
plasma,1,18,10,10156.111726598388,983409.6591841151
plasma,1,19,10,10156.111726598398,983409.6591841151
plasma,1,20,10,10156.11172659841,983409.6591841151
plasma,1,21,10,10156.111726598425,983409.6591841151
plasma,1,22,10,10156.11172659844,983409.6591841151
plasma,1,23,10,10156.111726598456,983409.6591841151
plasma,1,24,10,10156.111726598474,983409.6591841151
plasma,1,25,10,10156.111726598492,983409.6591841151
plasma,1,26,10,10156.111726598514,983409.6591841151
plasma,1,27,10,10156.111726598534,983409.6591841151
plasma,1,28,10,10156.111726598558,983409.6591841151
plasma,1,29,10,10156.111726598581,983409.6591841151
plasma,1,30,10,10156.111726598605,983409.6591841151
plasma,1,31,10,10156.111726598632,983409.6591841151
plasma,1,32,10,10156.111726598658,983409.6591841151
plasma,1,33,10,10156.111726598683,983409.6591841151
plasma,1,34,10,10156.111726598712,983409.6591841151
plasma,1,35,10,10156.11172659874,983409.6591841151
plasma,1,36,10,10156.111726598767,983409.6591841151
plasma,1,37,10,10156.111726598796,983409.6591841151
plasma,1,38,10,10156.111726598821,983409.6591841151
plasma,1,39,10,10156.111726598852,983409.6591841151
plasma,1,40,10,10156.111726598878,983409.6591841151
plasma,1,41,10,10156.111726598905,983409.6591841151
plasma,1,42,10,10156.111726598932,983409.6591841151
plasma,1,43,10,10156.11172659896,983409.6591841151
plasma,1,44,10,10156.111726598987,983409.6591841151
plasma,1,45,10,10156.111726599012,983409.6591841151
plasma,1,46,10,10156.111726599036,983409.6591841151
plasma,1,47,10,10156.11172659906,983409.6591841151
plasma,1,48,10,10156.111726599082,983409.6591841151
plasma,1,49,10,10156.111726599103,983409.6591841151
plasma,1,50,10,10156.111726599125,983409.6591841151
plasma,1,51,10,10156.111726599145,983409.6591841151
plasma,1,52,10,10156.111726599163,983409.6591841151
plasma,1,53,10,10156.111726599178,983409.6591841151
plasma,1,54,10,10156.111726599194,983409.6591841151
plasma,1,55,10,10156.111726599205,983409.6591841151
plasma,1,56,10,10156.11172659922,983409.6591841151
plasma,1,57,10,10156.111726599229,983409.6591841151
plasma,1,58,10,10156.111726599238,983409.6591841151
plasma,1,59,10,10156.111726599243,983409.6591841151
plasma,1,60,10,10156.11172659925,983409.6591841151
plasma,1,61,10,10156.111726599253,983409.6591841151
plasma,1,62,10,10156.111726599254,983409.6591841151
plasma,1,63,10,10156.111726599254,983409.6591841151
plasma,1,64,10,10156.111726599253,983409.6591841151
plasma,1,65,10,10156.11172659925,983409.6591841151
plasma,1,66,10,10156.111726599243,983409.6591841151
plasma,1,67,10,10156.111726599238,983409.6591841151
plasma,1,68,10,10156.111726599229,983409.6591841151
plasma,1,69,10,10156.11172659922,983409.6591841151
plasma,1,70,10,10156.111726599205,983409.6591841151
plasma,1,71,10,10156.111726599194,983409.6591841151
plasma,1,72,10,10156.111726599178,983409.6591841151
plasma,1,73,10,10156.111726599163,983409.6591841151
plasma,1,74,10,10156.111726599145,983409.6591841151
plasma,1,75,10,10156.111726599125,983409.6591841151
plasma,1,76,10,10156.111726599103,983409.6591841151
plasma,1,77,10,10156.111726599082,983409.6591841151
plasma,1,78,10,10156.11172659906,983409.6591841151
plasma,1,79,10,10156.111726599036,983409.6591841151
plasma,1,80,10,10156.111726599012,983409.6591841151
plasma,1,81,10,10156.111726598987,983409.6591841151
plasma,1,82,10,10156.11172659896,983409.6591841151
plasma,1,83,10,10156.111726598932,983409.6591841151
plasma,1,84,10,10156.111726598905,983409.6591841151
plasma,1,85,10,10156.111726598878,983409.6591841151
plasma,1,86,10,10156.111726598852,983409.6591841151
plasma,1,87,10,10156.111726598821,983409.6591841151
plasma,1,88,10,10156.111726598796,983409.6591841151
