domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,5,10162.208746858647,983852.4037663466
plasma,0,1,5,10162.208746858654,983852.4037663466
plasma,0,2,5,10162.20874685866,983852.4037663466
plasma,0,3,5,10162.208746858667,983852.4037663466
plasma,0,4,5,10162.208746858674,983852.4037663466
plasma,0,5,5,10162.208746858681,983852.4037663466
plasma,0,6,5,10162.208746858689,983852.4037663466
plasma,0,7,5,10162.208746858694,983852.4037663466
plasma,0,8,5,10162.208746858703,983852.4037663466
plasma,0,9,5,10162.20874685871,983852.4037663466
plasma,0,10,5,10162.208746858718,983852.4037663466
plasma,0,11,5,10162.208746858725,983852.4037663466
plasma,0,12,5,10162.20874685873,983852.4037663466
plasma,0,13,5,10162.208746858738,983852.4037663466
plasma,0,14,5,10162.208746858745,983852.4037663466
plasma,0,15,5,10162.20874685875,983852.4037663466
plasma,0,16,5,10162.208746858756,983852.4037663466
plasma,0,17,5,10162.208746858763,983852.4037663466
plasma,0,18,5,10162.208746858767,983852.4037663466
plasma,0,19,5,10162.208746858774,983852.4037663466
plasma,0,20,5,10162.208746858778,983852.4037663466
plasma,0,21,5,10162.208746858783,983852.4037663466
plasma,0,22,5,10162.208746858787,983852.4037663466
plasma,0,23,5,10162.20874685879,983852.4037663466
plasma,0,24,5,10162.208746858794,983852.4037663466
plasma,0,25,5,10162.208746858796,983852.4037663466
plasma,0,26,5,10162.2087468588,983852.4037663466
plasma,0,27,5,10162.208746858802,983852.4037663466
plasma,0,28,5,10162.208746858803,983852.4037663466
plasma,0,29,5,10162.208746858803,983852.4037663466
plasma,0,30,5,10162.208746858805,983852.4037663466
plasma,0,31,5,10162.208746858805,983852.4037663466
plasma,0,32,5,10162.208746858805,983852.4037663466
plasma,0,33,5,10162.208746858805,983852.4037663466
plasma,0,34,5,10162.208746858803,983852.4037663466
plasma,0,35,5,10162.208746858802,983852.4037663466
plasma,0,36,5,10162.208746858802,983852.4037663466
plasma,0,37,5,10162.2087468588,983852.4037663466
plasma,0,38,5,10162.208746858794,983852.4037663466
plasma,0,39,5,10162.208746858792,983852.4037663466
plasma,0,40,5,10162.208746858787,983852.4037663466
plasma,0,41,5,10162.208746858785,983852.4037663466
plasma,0,42,5,10162.208746858782,983852.4037663466
plasma,0,43,5,10162.208746858776,983852.4037663466
plasma,0,44,5,10162.208746858769,983852.4037663466
plasma,0,45,5,10162.208746858765,983852.4037663466
plasma,0,46,5,10162.20874685876,983852.4037663466
plasma,0,47,5,10162.208746858754,983852.4037663466
plasma,0,48,5,10162.208746858747,983852.4037663466
plasma,0,49,5,10162.20874685874,983852.4037663466
plasma,0,50,5,10162.208746858734,983852.4037663466
plasma,0,51,5,10162.208746858727,983852.4037663466
plasma,0,52,5,10162.20874685872,983852.4037663466
plasma,0,53,5,10162.208746858712,983852.4037663466
plasma,0,54,5,10162.208746858707,983852.4037663466
plasma,0,55,5,10162.2087468587,983852.4037663466
plasma,0,56,5,10162.208746858692,983852.4037663466
plasma,0,57,5,10162.208746858685,983852.4037663466
plasma,0,58,5,10162.208746858678,983852.4037663466
plasma,0,59,5,10162.20874685867,983852.4037663466
plasma,0,60,5,10162.208746858663,983852.4037663466
plasma,0,61,5,10162.208746858656,983852.4037663466
plasma,0,62,5,10162.20874685865,983852.4037663466
plasma,0,63,5,10162.208746858643,983852.4037663466
plasma,0,64,5,10162.208746858636,983852.4037663466
plasma,0,65,5,10162.20874685863,983852.4037663466
plasma,0,66,5,10162.208746858623,983852.4037663466
plasma,0,67,5,10162.208746858618,983852.4037663466
plasma,0,68,5,10162.208746858614,983852.4037663466
plasma,0,69,5,10162.208746858609,983852.4037663466
plasma,0,70,5,10162.208746858603,983852.4037663466
plasma,0,71,5,10162.2087468586,983852.4037663466
plasma,0,72,5,10162.208746858594,983852.4037663466
plasma,0,73,5,10162.20874685859,983852.4037663466
plasma,0,74,5,10162.208746858589,983852.4037663466
plasma,0,75,5,10162.208746858585,983852.4037663466
plasma,0,76,5,10162.208746858581,983852.4037663466
plasma,0,77,5,10162.20874685858,983852.4037663466
plasma,0,78,5,10162.208746858578,983852.4037663466
plasma,0,79,5,10162.208746858576,983852.4037663466
plasma,0,80,5,10162.208746858576,983852.4037663466
plasma,0,81,5,10162.208746858576,983852.4037663466
plasma,0,82,5,10162.208746858576,983852.4037663466
plasma,0,83,5,10162.208746858576,983852.4037663466
plasma,0,84,5,10162.208746858578,983852.4037663466
plasma,0,85,5,10162.20874685858,983852.4037663466
plasma,0,86,5,10162.208746858581,983852.4037663466
plasma,0,87,5,10162.208746858583,983852.4037663466
plasma,0,88,5,10162.208746858585,983852.4037663466
plasma,0,89,5,10162.208746858589,983852.4037663466
plasma,0,90,5,10162.208746858592,983852.4037663466
plasma,0,91,5,10162.208746858598,983852.4037663466
plasma,0,92,5,10162.208746858601,983852.4037663466
plasma,0,93,5,10162.208746858605,983852.4037663466
plasma,0,94,5,10162.20874685861,983852.4037663466
plasma,0,95,5,10162.208746858616,983852.4037663466
plasma,0,96,5,10162.208746858621,983852.4037663466
plasma,0,97,5,10162.208746858627,983852.4037663466
plasma,0,98,5,10162.208746858634,983852.4037663466
plasma,0,99,5,10162.20874685864,983852.4037663466
plasma,0,100,5,10162.208746858647,983852.4037663466
plasma,0,101,5,10162.208746858654,983852.4037663466
plasma,0,102,5,10162.20874685866,983852.4037663466
plasma,0,103,5,10162.208746858667,983852.4037663466
plasma,0,104,5,10162.208746858674,983852.4037663466
plasma,0,105,5,10162.208746858681,983852.4037663466
plasma,0,106,5,10162.208746858689,983852.4037663466
plasma,0,107,5,10162.208746858694,983852.4037663466
plasma,0,108,5,10162.208746858703,983852.4037663466
plasma,0,109,5,10162.20874685871,983852.4037663466
plasma,0,110,5,10162.208746858718,983852.4037663466
plasma,0,111,5,10162.208746858725,983852.4037663466
plasma,0,112,5,10162.20874685873,983852.4037663466
plasma,0,113,5,10162.208746858738,983852.4037663466
plasma,0,114,5,10162.208746858745,983852.4037663466
plasma,0,115,5,10162.20874685875,983852.4037663466
plasma,0,116,5,10162.208746858756,983852.4037663466
plasma,0,117,5,10162.208746858763,983852.4037663466
plasma,0,118,5,10162.208746858767,983852.4037663466
plasma,0,119,5,10162.208746858774,983852.4037663466
plasma,0,120,5,10162.208746858778,983852.4037663466
plasma,0,121,5,10162.208746858783,983852.4037663466
plasma,0,122,5,10162.208746858787,983852.4037663466
plasma,0,123,5,10162.20874685879,983852.4037663466
plasma,0,124,5,10162.208746858794,983852.4037663466
plasma,0,125,5,10162.208746858796,983852.4037663466
plasma,0,126,5,10162.2087468588,983852.4037663466
plasma,0,127,5,10162.208746858802,983852.4037663466
plasma,0,128,5,10162.208746858803,983852.4037663466
plasma,0,129,5,10162.208746858803,983852.4037663466
plasma,0,130,5,10162.208746858805,983852.4037663466
