domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,5,5577.138408692508,839874.0032585883
plasma,0,1,5,5577.138408692514,839874.0032585883
plasma,0,2,5,5577.138408692519,839874.0032585883
plasma,0,3,5,5577.138408692525,839874.0032585883
plasma,0,4,5,5577.138408692531,839874.0032585883
plasma,0,5,5,5577.138408692536,839874.0032585883
plasma,0,6,5,5577.138408692543,839874.0032585883
plasma,0,7,5,5577.138408692547,839874.0032585883
plasma,0,8,5,5577.138408692554,839874.0032585883
plasma,0,9,5,5577.13840869256,839874.0032585883
plasma,0,10,5,5577.138408692565,839874.0032585883
plasma,0,11,5,5577.138408692571,839874.0032585883
plasma,0,12,5,5577.1384086925755,839874.0032585883
plasma,0,13,5,5577.138408692581,839874.0032585883
plasma,0,14,5,5577.138408692587,839874.0032585883
plasma,0,15,5,5577.138408692592,839874.0032585883
plasma,0,16,5,5577.1384086925955,839874.0032585883
plasma,0,17,5,5577.138408692601,839874.0032585883
plasma,0,18,5,5577.1384086926055,839874.0032585883
plasma,0,19,5,5577.138408692609,839874.0032585883
plasma,0,20,5,5577.138408692613,839874.0032585883
plasma,0,21,5,5577.138408692616,839874.0032585883
plasma,0,22,5,5577.13840869262,839874.0032585883
plasma,0,23,5,5577.138408692623,839874.0032585883
plasma,0,24,5,5577.1384086926255,839874.0032585883
plasma,0,25,5,5577.138408692628,839874.0032585883
plasma,0,26,5,5577.13840869263,839874.0032585883
plasma,0,27,5,5577.138408692632,839874.0032585883
plasma,0,28,5,5577.138408692633,839874.0032585883
plasma,0,29,5,5577.138408692634,839874.0032585883
plasma,0,30,5,5577.1384086926355,839874.0032585883
plasma,0,31,5,5577.1384086926355,839874.0032585883
plasma,0,32,5,5577.1384086926355,839874.0032585883
plasma,0,33,5,5577.138408692634,839874.0032585883
plasma,0,34,5,5577.138408692634,839874.0032585883
plasma,0,35,5,5577.138408692633,839874.0032585883
plasma,0,36,5,5577.138408692632,839874.0032585883
plasma,0,37,5,5577.138408692629,839874.0032585883
plasma,0,38,5,5577.138408692626,839874.0032585883
plasma,0,39,5,5577.138408692625,839874.0032585883
plasma,0,40,5,5577.138408692622,839874.0032585883
plasma,0,41,5,5577.138408692618,839874.0032585883
plasma,0,42,5,5577.1384086926155,839874.0032585883
plasma,0,43,5,5577.138408692612,839874.0032585883
plasma,0,44,5,5577.138408692606,839874.0032585883
plasma,0,45,5,5577.138408692603,839874.0032585883
plasma,0,46,5,5577.138408692598,839874.0032585883
plasma,0,47,5,5577.138408692595,839874.0032585883
plasma,0,48,5,5577.138408692589,839874.0032585883
plasma,0,49,5,5577.138408692584,839874.0032585883
plasma,0,50,5,5577.138408692578,839874.0032585883
plasma,0,51,5,5577.138408692574,839874.0032585883
plasma,0,52,5,5577.138408692567,839874.0032585883
plasma,0,53,5,5577.138408692562,839874.0032585883
plasma,0,54,5,5577.138408692556,839874.0032585883
plasma,0,55,5,5577.138408692551,839874.0032585883
plasma,0,56,5,5577.1384086925445,839874.0032585883
plasma,0,57,5,5577.138408692539,839874.0032585883
plasma,0,58,5,5577.138408692534,839874.0032585883
plasma,0,59,5,5577.138408692528,839874.0032585883
plasma,0,60,5,5577.138408692523,839874.0032585883
plasma,0,61,5,5577.138408692517,839874.0032585883
plasma,0,62,5,5577.138408692512,839874.0032585883
plasma,0,63,5,5577.138408692505,839874.0032585883
plasma,0,64,5,5577.138408692501,839874.0032585883
plasma,0,65,5,5577.138408692496,839874.0032585883
plasma,0,66,5,5577.138408692491,839874.0032585883
plasma,0,67,5,5577.138408692486,839874.0032585883
plasma,0,68,5,5577.138408692483,839874.0032585883
plasma,0,69,5,5577.138408692478,839874.0032585883
plasma,0,70,5,5577.1384086924745,839874.0032585883
plasma,0,71,5,5577.138408692471,839874.0032585883
plasma,0,72,5,5577.138408692467,839874.0032585883
plasma,0,73,5,5577.1384086924645,839874.0032585883
plasma,0,74,5,5577.138408692461,839874.0032585883
plasma,0,75,5,5577.138408692459,839874.0032585883
plasma,0,76,5,5577.138408692457,839874.0032585883
plasma,0,77,5,5577.138408692455,839874.0032585883
plasma,0,78,5,5577.138408692454,839874.0032585883
plasma,0,79,5,5577.138408692454,839874.0032585883
plasma,0,80,5,5577.138408692453,839874.0032585883
plasma,0,81,5,5577.138408692452,839874.0032585883
plasma,0,82,5,5577.138408692452,839874.0032585883
plasma,0,83,5,5577.138408692453,839874.0032585883
plasma,0,84,5,5577.138408692454,839874.0032585883
plasma,0,85,5,5577.1384086924545,839874.0032585883
plasma,0,86,5,5577.138408692456,839874.0032585883
plasma,0,87,5,5577.138408692458,839874.0032585883
plasma,0,88,5,5577.13840869246,839874.0032585883
plasma,0,89,5,5577.138408692463,839874.0032585883
plasma,0,90,5,5577.138408692465,839874.0032585883
plasma,0,91,5,5577.138408692469,839874.0032585883
plasma,0,92,5,5577.138408692473,839874.0032585883
plasma,0,93,5,5577.138408692476,839874.0032585883
plasma,0,94,5,5577.13840869248,839874.0032585883
plasma,0,95,5,5577.1384086924845,839874.0032585883
plasma,0,96,5,5577.138408692488,839874.0032585883
plasma,0,97,5,5577.138408692494,839874.0032585883
plasma,0,98,5,5577.138408692498,839874.0032585883
plasma,0,99,5,5577.138408692504,839874.0032585883
plasma,0,100,5,5577.138408692508,839874.0032585883
plasma,0,101,5,5577.138408692514,839874.0032585883
plasma,0,102,5,5577.138408692519,839874.0032585883
plasma,0,103,5,5577.138408692525,839874.0032585883
plasma,0,104,5,5577.138408692531,839874.0032585883
plasma,0,105,5,5577.138408692536,839874.0032585883
plasma,0,106,5,5577.138408692543,839874.0032585883
plasma,0,107,5,5577.138408692547,839874.0032585883
plasma,0,108,5,5577.138408692554,839874.0032585883
plasma,0,109,5,5577.13840869256,839874.0032585883
plasma,0,110,5,5577.138408692565,839874.0032585883
plasma,0,111,5,5577.138408692571,839874.0032585883
plasma,0,112,5,5577.1384086925755,839874.0032585883
plasma,0,113,5,5577.138408692581,839874.0032585883
plasma,0,114,5,5577.138408692587,839874.0032585883
plasma,0,115,5,5577.138408692592,839874.0032585883
plasma,0,116,5,5577.1384086925955,839874.0032585883
plasma,0,117,5,5577.138408692601,839874.0032585883
plasma,0,118,5,5577.1384086926055,839874.0032585883
plasma,0,119,5,5577.138408692609,839874.0032585883
plasma,0,120,5,5577.138408692613,839874.0032585883
plasma,0,121,5,5577.138408692616,839874.0032585883
plasma,0,122,5,5577.13840869262,839874.0032585883
plasma,0,123,5,5577.138408692623,839874.0032585883
plasma,0,124,5,5577.1384086926255,839874.0032585883
plasma,0,125,5,5577.138408692628,839874.0032585883
plasma,0,126,5,5577.13840869263,839874.0032585883
plasma,0,127,5,5577.138408692632,839874.0032585883
plasma,0,128,5,5577.138408692633,839874.0032585883
plasma,0,129,5,5577.138408692634,839874.0032585883
plasma,0,130,5,5577.1384086926355,839874.0032585883
plasma,0,131,5,5577.1384086926355,839874.0032585883
plasma,0,132,5,5577.1384086926355,839874.0032585883
plasma,0,133,5,5577.138408692634,839874.0032585883
plasma,0,134,5,5577.138408692634,839874.0032585883
plasma,0,135,5,5577.138408692633,839874.0032585883
plasma,0,136,5,5577.138408692632,839874.0032585883
plasma,0,137,5,5577.138408692629,839874.0032585883
plasma,0,138,5,5577.138408692626,839874.0032585883
plasma,0,139,5,5577.138408692625,839874.0032585883
plasma,0,140,5,5577.138408692622,839874.0032585883
plasma,0,141,5,5577.138408692618,839874.0032585883
plasma,0,142,5,5577.1384086926155,839874.0032585883
plasma,0,143,5,5577.138408692612,839874.0032585883
plasma,0,144,5,5577.138408692606,839874.0032585883
plasma,0,145,5,5577.138408692603,839874.0032585883
plasma,0,146,5,5577.138408692598,839874.0032585883
plasma,0,147,5,5577.138408692595,839874.0032585883
plasma,0,148,5,5577.138408692589,839874.0032585883
plasma,0,149,5,5577.138408692584,839874.0032585883
plasma,0,150,5,5577.138408692578,839874.0032585883
plasma,0,151,5,5577.138408692574,839874.0032585883
plasma,0,152,5,5577.138408692567,839874.0032585883
plasma,0,153,5,5577.138408692562,839874.0032585883
plasma,0,154,5,5577.138408692556,839874.0032585883
plasma,0,155,5,5577.138408692551,839874.0032585883
plasma,0,156,5,5577.1384086925445,839874.0032585883
plasma,0,157,5,5577.138408692539,839874.0032585883
