domain,i,j,value1,value2
plasma,0,0,10162.2087,983852.4038
plasma,0,1,10162.2087,983852.4038
plasma,0,2,10162.2087,983852.4038
plasma,0,3,10162.2087,983852.4038
plasma,0,4,10162.2087,983852.4038
plasma,0,5,10162.2087,983852.4038
plasma,0,6,10162.2087,983852.4038
plasma,0,7,10162.2087,983852.4038
plasma,0,8,10162.2087,983852.4038
plasma,0,9,10162.2087,983852.4038
plasma,0,10,10162.2087,983852.4038
plasma,0,11,10162.2087,983852.4038
plasma,0,12,10162.2087,983852.4038
plasma,0,13,10162.2087,983852.4038
plasma,0,14,10162.2087,983852.4038
plasma,0,15,10162.2087,983852.4038
plasma,0,16,10162.2087,983852.4038
plasma,0,17,10162.2087,983852.4038
plasma,0,18,10162.2087,983852.4038
plasma,0,19,10162.2087,983852.4038
plasma,0,20,10162.2087,983852.4038
plasma,0,21,10162.2087,983852.4038
plasma,0,22,10162.2087,983852.4038
plasma,0,23,10162.2087,983852.4038
plasma,0,24,10162.2087,983852.4038
plasma,0,25,10162.2087,983852.4038
plasma,0,26,10162.2087,983852.4038
plasma,0,27,10162.2087,983852.4038
plasma,0,28,10162.2087,983852.4038
plasma,0,29,10162.2087,983852.4038
plasma,0,30,10162.2087,983852.4038
plasma,0,31,10162.2087,983852.4038
plasma,0,32,10162.2087,983852.4038
plasma,0,33,10162.2087,983852.4038
plasma,0,34,10162.2087,983852.4038
plasma,0,35,10162.2087,983852.4038
plasma,0,36,10162.2087,983852.4038
plasma,0,37,10162.2087,983852.4038
plasma,0,38,10162.2087,983852.4038
plasma,0,39,10162.2087,983852.4038
plasma,0,40,10162.2087,983852.4038
plasma,0,41,10162.2087,983852.4038
plasma,0,42,10162.2087,983852.4038
plasma,0,43,10162.2087,983852.4038
plasma,0,44,10162.2087,983852.4038
plasma,0,45,10162.2087,983852.4038
plasma,0,46,10162.2087,983852.4038
plasma,0,47,10162.2087,983852.4038
plasma,0,48,10162.2087,983852.4038
plasma,0,49,10162.2087,983852.4038
plasma,0,50,10162.2087,983852.4038
plasma,0,51,10162.2087,983852.4038
plasma,0,52,10162.2087,983852.4038
plasma,0,53,10162.2087,983852.4038
plasma,0,54,10162.2087,983852.4038
plasma,0,55,10162.2087,983852.4038
plasma,0,56,10162.2087,983852.4038
plasma,0,57,10162.2087,983852.4038
plasma,0,58,10162.2087,983852.4038
plasma,0,59,10162.2087,983852.4038
plasma,0,60,10162.2087,983852.4038
plasma,0,61,10162.2087,983852.4038
plasma,0,62,10162.2087,983852.4038
plasma,0,63,10162.2087,983852.4038
plasma,0,64,10162.2087,983852.4038
plasma,0,65,10162.2087,983852.4038
plasma,0,66,10162.2087,983852.4038
plasma,0,67,10162.2087,983852.4038
plasma,0,68,10162.2087,983852.4038
plasma,0,69,10162.2087,983852.4038
plasma,0,70,10162.2087,983852.4038
plasma,0,71,10162.2087,983852.4038
plasma,0,72,10162.2087,983852.4038
plasma,0,73,10162.2087,983852.4038
plasma,0,74,10162.2087,983852.4038
plasma,0,75,10162.2087,983852.4038
plasma,0,76,10162.2087,983852.4038
plasma,0,77,10162.2087,983852.4038
plasma,0,78,10162.2087,983852.4038
plasma,0,79,10162.2087,983852.4038
plasma,0,80,10162.2087,983852.4038
plasma,0,81,10162.2087,983852.4038
plasma,0,82,10162.2087,983852.4038
plasma,0,83,10162.2087,983852.4038
plasma,0,84,10162.2087,983852.4038
plasma,0,85,10162.2087,983852.4038
plasma,0,86,10162.2087,983852.4038
plasma,0,87,10162.2087,983852.4038
plasma,0,88,10162.2087,983852.4038
plasma,0,89,10162.2087,983852.4038
plasma,0,90,10162.2087,983852.4038
plasma,0,91,10162.2087,983852.4038
plasma,0,92,10162.2087,983852.4038
plasma,0,93,10162.2087,983852.4038
plasma,0,94,10162.2087,983852.4038
plasma,0,95,10162.2087,983852.4038
plasma,0,96,10162.2087,983852.4038
plasma,0,97,10162.2087,983852.4038
plasma,0,98,10162.2087,983852.4038
plasma,0,99,10162.2087,983852.4038
plasma,0,100,10162.2087,983852.4038
plasma,0,101,10162.2087,983852.4038
