domain,i,j,value1,value2
plasma,0,151,24995.0002,1199820.0045
plasma,0,152,24995.0002,1199820.0045
plasma,0,153,24995.0002,1199820.0045
plasma,0,154,24995.0002,1199820.0045
plasma,0,155,24995.0002,1199820.0045
plasma,0,156,24995.0002,1199820.0045
plasma,0,157,24995.0002,1199820.0045
plasma,0,158,24995.0003,1199820.0045
plasma,0,159,24995.0003,1199820.0045
plasma,0,160,24995.0003,1199820.0045
plasma,0,161,24995.0003,1199820.0045
plasma,0,162,24995.0003,1199820.0045
plasma,0,163,24995.0003,1199820.0045
plasma,0,164,24995.0003,1199820.0045
plasma,0,165,24995.0003,1199820.0045
plasma,0,166,24995.0003,1199820.0045
plasma,0,167,24995.0003,1199820.0045
plasma,0,168,24995.0003,1199820.0045
plasma,0,169,24995.0003,1199820.0045
plasma,0,170,24995.0003,1199820.0045
plasma,0,171,24995.0003,1199820.0045
plasma,0,172,24995.0003,1199820.0045
plasma,0,173,24995.0003,1199820.0045
plasma,0,174,24995.0003,1199820.0045
plasma,0,175,24995.0003,1199820.0045
plasma,0,176,24995.0003,1199820.0045
plasma,0,177,24995.0003,1199820.0045
plasma,0,178,24995.0003,1199820.0045
plasma,0,179,24995.0003,1199820.0045
plasma,1,0,24974.6227,1199086.3009
plasma,1,1,24974.6227,1199086.3009
plasma,1,2,24974.6227,1199086.3009
plasma,1,3,24974.6227,1199086.3009
plasma,1,4,24974.6227,1199086.3009
plasma,1,5,24974.6227,1199086.3009
plasma,1,6,24974.6227,1199086.3009
plasma,1,7,24974.6227,1199086.3009
plasma,1,8,24974.6227,1199086.3009
plasma,1,9,24974.6227,1199086.3009
plasma,1,10,24974.6227,1199086.3009
plasma,1,11,24974.6227,1199086.3009
plasma,1,12,24974.6227,1199086.3009
plasma,1,13,24974.6227,1199086.3009
plasma,1,14,24974.6227,1199086.3009
plasma,1,15,24974.6227,1199086.3009
plasma,1,16,24974.6227,1199086.3009
plasma,1,17,24974.6227,1199086.3009
plasma,1,18,24974.6227,1199086.3009
plasma,1,19,24974.6227,1199086.3009
plasma,1,20,24974.6227,1199086.3009
plasma,1,21,24974.6227,1199086.3009
plasma,1,22,24974.6227,1199086.3009
plasma,1,23,24974.6227,1199086.3009
plasma,1,24,24974.6227,1199086.3009
plasma,1,25,24974.6227,1199086.3009
plasma,1,26,24974.6227,1199086.3009
plasma,1,27,24974.6227,1199086.3009
plasma,1,28,24974.6227,1199086.3009
plasma,1,29,24974.6227,1199086.3009
plasma,1,30,24974.6227,1199086.3009
plasma,1,31,24974.6227,1199086.3009
plasma,1,32,24974.6227,1199086.3009
plasma,1,33,24974.6227,1199086.3009
plasma,1,34,24974.6227,1199086.3009
plasma,1,35,24974.6227,1199086.3009
plasma,1,36,24974.6227,1199086.3009
plasma,1,37,24974.6227,1199086.3009
plasma,1,38,24974.6227,1199086.3009
plasma,1,39,24974.6227,1199086.3009
plasma,1,40,24974.6227,1199086.3009
plasma,1,41,24974.6227,1199086.3009
plasma,1,42,24974.6227,1199086.3009
plasma,1,43,24974.6227,1199086.3009
plasma,1,44,24974.6227,1199086.3009
plasma,1,45,24974.6227,1199086.3009
plasma,1,46,24974.6227,1199086.3009
plasma,1,47,24974.6227,1199086.3009
plasma,1,48,24974.6227,1199086.3009
plasma,1,49,24974.6227,1199086.3009
plasma,1,50,24974.6227,1199086.3009
plasma,1,51,24974.6227,1199086.3009
plasma,1,52,24974.6227,1199086.3009
plasma,1,53,24974.6227,1199086.3009
plasma,1,54,24974.6227,1199086.3009
plasma,1,55,24974.6227,1199086.3009
plasma,1,56,24974.6227,1199086.3009
plasma,1,57,24974.6227,1199086.3009
plasma,1,58,24974.6227,1199086.3009
plasma,1,59,24974.6227,1199086.3009
plasma,1,60,24974.6227,1199086.3009
plasma,1,61,24974.6227,1199086.3009
plasma,1,62,24974.6227,1199086.3009
plasma,1,63,24974.6227,1199086.3009
plasma,1,64,24974.6227,1199086.3009
plasma,1,65,24974.6227,1199086.3009
plasma,1,66,24974.6227,1199086.3009
plasma,1,67,24974.6227,1199086.3009
plasma,1,68,24974.6227,1199086.3009
plasma,1,69,24974.6227,1199086.3009
plasma,1,70,24974.6227,1199086.3009
plasma,1,71,24974.6227,1199086.3009
plasma,1,72,24974.6227,1199086.3009
plasma,1,73,24974.6227,1199086.3009
plasma,1,74,24974.6227,1199086.3009
plasma,1,75,24974.6227,1199086.3009
plasma,1,76,24974.6227,1199086.3009
plasma,1,77,24974.6227,1199086.3009
plasma,1,78,24974.6227,1199086.3009
plasma,1,79,24974.6227,1199086.3009
plasma,1,80,24974.6227,1199086.3009
plasma,1,81,24974.6227,1199086.3009
plasma,1,82,24974.6227,1199086.3009
plasma,1,83,24974.6227,1199086.3009
plasma,1,84,24974.6227,1199086.3009
plasma,1,85,24974.6227,1199086.3009
