domain,i,j,value1,value2
plasma,0,0,1244.4278,479928.0019
plasma,0,1,1244.4278,479928.0019
plasma,0,2,1244.4278,479928.0019
plasma,0,3,1244.4278,479928.0019
plasma,0,4,1244.4278,479928.0019
plasma,0,5,1244.4278,479928.0019
plasma,0,6,1244.4278,479928.0019
plasma,0,7,1244.4278,479928.0019
plasma,0,8,1244.4278,479928.0019
plasma,0,9,1244.4278,479928.0019
plasma,0,10,1244.4278,479928.0019
plasma,0,11,1244.4278,479928.0019
plasma,0,12,1244.4278,479928.0019
plasma,0,13,1244.4278,479928.0019
plasma,0,14,1244.4278,479928.0019
plasma,0,15,1244.4278,479928.0019
plasma,0,16,1244.4278,479928.0019
plasma,0,17,1244.4278,479928.0019
plasma,0,18,1244.4278,479928.0019
plasma,0,19,1244.4278,479928.0019
plasma,0,20,1244.4278,479928.0019
plasma,0,21,1244.4278,479928.0019
plasma,0,22,1244.4278,479928.0019
plasma,0,23,1244.4278,479928.0019
plasma,0,24,1244.4278,479928.0019
plasma,0,25,1244.4278,479928.0019
plasma,0,26,1244.4278,479928.0019
plasma,0,27,1244.4278,479928.0019
plasma,0,28,1244.4278,479928.0019
plasma,0,29,1244.4278,479928.0019
plasma,0,30,1244.4278,479928.0019
plasma,0,31,1244.4278,479928.0019
plasma,0,32,1244.4278,479928.0019
plasma,0,33,1244.4278,479928.0019
plasma,0,34,1244.4278,479928.0019
plasma,0,35,1244.4278,479928.0019
plasma,0,36,1244.4278,479928.0019
plasma,0,37,1244.4278,479928.0019
plasma,0,38,1244.4278,479928.0019
plasma,0,39,1244.4278,479928.0019
plasma,0,40,1244.4278,479928.0019
plasma,0,41,1244.4278,479928.0019
plasma,0,42,1244.4278,479928.0019
plasma,0,43,1244.4278,479928.0019
plasma,0,44,1244.4278,479928.0019
plasma,0,45,1244.4278,479928.0019
plasma,0,46,1244.4278,479928.0019
plasma,0,47,1244.4278,479928.0019
plasma,0,48,1244.4278,479928.0019
plasma,0,49,1244.4278,479928.0019
plasma,0,50,1244.4278,479928.0019
plasma,0,51,1244.4278,479928.0019
plasma,0,52,1244.4278,479928.0019
plasma,0,53,1244.4278,479928.0019
plasma,0,54,1244.4278,479928.0019
plasma,0,55,1244.4278,479928.0019
plasma,0,56,1244.4278,479928.0019
plasma,0,57,1244.4278,479928.0019
plasma,0,58,1244.4278,479928.0019
plasma,0,59,1244.4278,479928.0019
plasma,0,60,1244.4278,479928.0019
plasma,0,61,1244.4278,479928.0019
plasma,0,62,1244.4278,479928.0019
plasma,0,63,1244.4278,479928.0019
plasma,0,64,1244.4278,479928.0019
plasma,0,65,1244.4278,479928.0019
plasma,0,66,1244.4278,479928.0019
plasma,0,67,1244.4278,479928.0019
plasma,0,68,1244.4278,479928.0019
plasma,0,69,1244.4278,479928.0019
plasma,0,70,1244.4278,479928.0019
plasma,0,71,1244.4278,479928.0019
plasma,0,72,1244.4278,479928.0019
plasma,0,73,1244.4278,479928.0019
plasma,0,74,1244.4278,479928.0019
plasma,0,75,1244.4278,479928.0019
plasma,0,76,1244.4278,479928.0019
plasma,0,77,1244.4278,479928.0019
plasma,0,78,1244.4278,479928.0019
plasma,0,79,1244.4278,479928.0019
plasma,0,80,1244.4278,479928.0019
plasma,0,81,1244.4278,479928.0019
plasma,0,82,1244.4278,479928.0019
plasma,0,83,1244.4278,479928.0019
plasma,0,84,1244.4278,479928.0019
plasma,0,85,1244.4278,479928.0019
plasma,0,86,1244.4278,479928.0019
plasma,0,87,1244.4278,479928.0019
plasma,0,88,1244.4278,479928.0019
plasma,0,89,1244.4278,479928.0019
plasma,0,90,1244.4278,479928.0019
plasma,0,91,1244.4278,479928.0019
plasma,0,92,1244.4278,479928.0019
plasma,0,93,1244.4278,479928.0019
plasma,0,94,1244.4278,479928.0019
plasma,0,95,1244.4278,479928.0019
