domain,i,j,value1,value2
plasma,0,0,1679.8018,551917.2022
plasma,0,1,1679.8018,551917.2022
plasma,0,2,1679.8018,551917.2022
plasma,0,3,1679.8018,551917.2022
plasma,0,4,1679.8018,551917.2022
plasma,0,5,1679.8018,551917.2022
plasma,0,6,1679.8018,551917.2022
plasma,0,7,1679.8018,551917.2022
plasma,0,8,1679.8018,551917.2022
plasma,0,9,1679.8018,551917.2022
plasma,0,10,1679.8018,551917.2022
plasma,0,11,1679.8018,551917.2022
plasma,0,12,1679.8018,551917.2022
plasma,0,13,1679.8018,551917.2022
plasma,0,14,1679.8018,551917.2022
plasma,0,15,1679.8018,551917.2022
plasma,0,16,1679.8018,551917.2022
plasma,0,17,1679.8018,551917.2022
plasma,0,18,1679.8018,551917.2022
plasma,0,19,1679.8018,551917.2022
plasma,0,20,1679.8018,551917.2022
plasma,0,21,1679.8018,551917.2022
plasma,0,22,1679.8018,551917.2022
plasma,0,23,1679.8018,551917.2022
plasma,0,24,1679.8018,551917.2022
plasma,0,25,1679.8018,551917.2022
plasma,0,26,1679.8018,551917.2022
plasma,0,27,1679.8018,551917.2022
plasma,0,28,1679.8018,551917.2022
plasma,0,29,1679.8018,551917.2022
plasma,0,30,1679.8018,551917.2022
plasma,0,31,1679.8018,551917.2022
plasma,0,32,1679.8018,551917.2022
plasma,0,33,1679.8018,551917.2022
plasma,0,34,1679.8018,551917.2022
plasma,0,35,1679.8018,551917.2022
plasma,0,36,1679.8018,551917.2022
plasma,0,37,1679.8018,551917.2022
plasma,0,38,1679.8018,551917.2022
plasma,0,39,1679.8018,551917.2022
plasma,0,40,1679.8018,551917.2022
plasma,0,41,1679.8018,551917.2022
plasma,0,42,1679.8018,551917.2022
plasma,0,43,1679.8018,551917.2022
plasma,0,44,1679.8018,551917.2022
plasma,0,45,1679.8018,551917.2022
plasma,0,46,1679.8018,551917.2022
plasma,0,47,1679.8018,551917.2022
plasma,0,48,1679.8018,551917.2022
plasma,0,49,1679.8018,551917.2022
plasma,0,50,1679.8018,551917.2022
plasma,0,51,1679.8018,551917.2022
plasma,0,52,1679.8018,551917.2022
plasma,0,53,1679.8018,551917.2022
plasma,0,54,1679.8018,551917.2022
plasma,0,55,1679.8018,551917.2022
plasma,0,56,1679.8018,551917.2022
plasma,0,57,1679.8018,551917.2022
plasma,0,58,1679.8018,551917.2022
plasma,0,59,1679.8018,551917.2022
plasma,0,60,1679.8018,551917.2022
plasma,0,61,1679.8018,551917.2022
plasma,0,62,1679.8018,551917.2022
plasma,0,63,1679.8018,551917.2022
plasma,0,64,1679.8018,551917.2022
plasma,0,65,1679.8018,551917.2022
plasma,0,66,1679.8018,551917.2022
plasma,0,67,1679.8018,551917.2022
plasma,0,68,1679.8018,551917.2022
plasma,0,69,1679.8018,551917.2022
plasma,0,70,1679.8018,551917.2022
plasma,0,71,1679.8018,551917.2022
plasma,0,72,1679.8018,551917.2022
plasma,0,73,1679.8018,551917.2022
plasma,0,74,1679.8018,551917.2022
plasma,0,75,1679.8018,551917.2022
plasma,0,76,1679.8018,551917.2022
plasma,0,77,1679.8018,551917.2022
plasma,0,78,1679.8018,551917.2022
plasma,0,79,1679.8018,551917.2022
plasma,0,80,1679.8018,551917.2022
plasma,0,81,1679.8018,551917.2022
plasma,0,82,1679.8018,551917.2022
plasma,0,83,1679.8018,551917.2022
plasma,0,84,1679.8018,551917.2022
plasma,0,85,1679.8018,551917.2022
plasma,0,86,1679.8018,551917.2022
plasma,0,87,1679.8018,551917.2022
plasma,0,88,1679.8018,551917.2022
plasma,0,89,1679.8018,551917.2022
plasma,0,90,1679.8018,551917.2022
plasma,0,91,1679.8018,551917.2022
plasma,0,92,1679.8018,551917.2022
plasma,0,93,1679.8018,551917.2022
plasma,0,94,1679.8018,551917.2022
plasma,0,95,1679.8018,551917.2022
plasma,0,96,1679.8018,551917.2022
plasma,0,97,1679.8018,551917.2022
plasma,0,98,1679.8018,551917.2022
plasma,0,99,1679.8018,551917.2022
plasma,0,100,1679.8018,551917.2022
plasma,0,101,1679.8018,551917.2022
plasma,0,102,1679.8018,551917.2022
plasma,0,103,1679.8018,551917.2022
plasma,0,104,1679.8018,551917.2022
plasma,0,105,1679.8018,551917.2022
plasma,0,106,1679.8018,551917.2022
plasma,0,107,1679.8018,551917.2022
plasma,0,108,1679.8018,551917.2022
plasma,0,109,1679.8018,551917.2022
plasma,0,110,1679.8018,551917.2022
plasma,0,111,1679.8018,551917.2022
plasma,0,112,1679.8018,551917.2022
plasma,0,113,1679.8018,551917.2022
plasma,0,114,1679.8018,551917.2022
plasma,0,115,1679.8018,551917.2022
plasma,0,116,1679.8018,551917.2022
plasma,0,117,1679.8018,551917.2022
plasma,0,118,1679.8018,551917.2022
plasma,0,119,1679.8018,551917.2022
plasma,0,120,1679.8018,551917.2022
plasma,0,121,1679.8018,551917.2022
plasma,0,122,1679.8018,551917.2022
plasma,0,123,1679.8018,551917.2022
plasma,0,124,1679.8018,551917.2022
plasma,0,125,1679.8018,551917.2022
plasma,0,126,1679.8018,551917.2022
plasma,0,127,1679.8018,551917.2022
plasma,0,128,1679.8018,551917.2022
plasma,0,129,1679.8018,551917.2022
plasma,0,130,1679.8018,551917.2022
plasma,0,131,1679.8018,551917.2022
plasma,0,132,1679.8018,551917.2022
plasma,0,133,1679.8018,551917.2022
plasma,0,134,1679.8018,551917.2022
plasma,0,135,1679.8018,551917.2022
plasma,0,136,1679.8018,551917.2022
plasma,0,137,1679.8018,551917.2022
plasma,0,138,1679.8018,551917.2022
plasma,0,139,1679.8018,551917.2022
plasma,0,140,1679.8018,551917.2022
plasma,0,141,1679.8018,551917.2022
plasma,0,142,1679.8018,551917.2022
plasma,0,143,1679.8018,551917.2022
plasma,0,144,1679.8018,551917.2022
plasma,0,145,1679.8018,551917.2022
plasma,0,146,1679.8018,551917.2022
plasma,0,147,1679.8018,551917.2022
plasma,0,148,1679.8018,551917.2022
plasma,0,149,1679.8018,551917.2022
plasma,0,150,1679.8018,551917.2022
plasma,0,151,1679.8018,551917.2022
plasma,0,152,1679.8018,551917.2022
plasma,0,153,1679.8018,551917.2022
plasma,0,154,1679.8018,551917.2022
plasma,0,155,1679.8018,551917.2022
plasma,0,156,1679.8018,551917.2022
plasma,0,157,1679.8018,551917.2022
plasma,0,158,1679.8018,551917.2022
plasma,0,159,1679.8018,551917.2022
plasma,0,160,1679.8018,551917.2022
plasma,0,161,1679.8018,551917.2022
plasma,0,162,1679.8018,551917.2022
plasma,0,163,1679.8018,551917.2022
plasma,0,164,1679.8018,551917.2022
plasma,0,165,1679.8018,551917.2022
plasma,0,166,1679.8018,551917.2022
plasma,0,167,1679.8018,551917.2022
plasma,0,168,1679.8018,551917.2022
plasma,0,169,1679.8018,551917.2022
plasma,0,170,1679.8018,551917.2022
plasma,0,171,1679.8018,551917.2022
plasma,0,172,1679.8018,551917.2022
plasma,0,173,1679.8018,551917.2022
plasma,0,174,1679.8018,551917.2022
plasma,0,175,1679.8018,551917.2022
plasma,0,176,1679.8018,551917.2022
plasma,0,177,1679.8018,551917.2022
