domain,i,j,value1,value2
plasma,0,0,5577.1384,839874.0033
plasma,0,1,5577.1384,839874.0033
plasma,0,2,5577.1384,839874.0033
plasma,0,3,5577.1384,839874.0033
plasma,0,4,5577.1384,839874.0033
plasma,0,5,5577.1384,839874.0033
plasma,0,6,5577.1384,839874.0033
plasma,0,7,5577.1384,839874.0033
plasma,0,8,5577.1384,839874.0033
plasma,0,9,5577.1384,839874.0033
plasma,0,10,5577.1384,839874.0033
plasma,0,11,5577.1384,839874.0033
plasma,0,12,5577.1384,839874.0033
plasma,0,13,5577.1384,839874.0033
plasma,0,14,5577.1384,839874.0033
plasma,0,15,5577.1384,839874.0033
plasma,0,16,5577.1384,839874.0033
plasma,0,17,5577.1384,839874.0033
plasma,0,18,5577.1384,839874.0033
plasma,0,19,5577.1384,839874.0033
plasma,0,20,5577.1384,839874.0033
plasma,0,21,5577.1384,839874.0033
plasma,0,22,5577.1384,839874.0033
plasma,0,23,5577.1384,839874.0033
plasma,0,24,5577.1384,839874.0033
plasma,0,25,5577.1384,839874.0033
plasma,0,26,5577.1384,839874.0033
plasma,0,27,5577.1384,839874.0033
plasma,0,28,5577.1384,839874.0033
plasma,0,29,5577.1384,839874.0033
plasma,0,30,5577.1384,839874.0033
plasma,0,31,5577.1384,839874.0033
plasma,0,32,5577.1384,839874.0033
plasma,0,33,5577.1384,839874.0033
plasma,0,34,5577.1384,839874.0033
plasma,0,35,5577.1384,839874.0033
plasma,0,36,5577.1384,839874.0033
plasma,0,37,5577.1384,839874.0033
plasma,0,38,5577.1384,839874.0033
plasma,0,39,5577.1384,839874.0033
plasma,0,40,5577.1384,839874.0033
plasma,0,41,5577.1384,839874.0033
plasma,0,42,5577.1384,839874.0033
plasma,0,43,5577.1384,839874.0033
plasma,0,44,5577.1384,839874.0033
plasma,0,45,5577.1384,839874.0033
plasma,0,46,5577.1384,839874.0033
plasma,0,47,5577.1384,839874.0033
plasma,0,48,5577.1384,839874.0033
plasma,0,49,5577.1384,839874.0033
plasma,0,50,5577.1384,839874.0033
plasma,0,51,5577.1384,839874.0033
plasma,0,52,5577.1384,839874.0033
plasma,0,53,5577.1384,839874.0033
plasma,0,54,5577.1384,839874.0033
plasma,0,55,5577.1384,839874.0033
plasma,0,56,5577.1384,839874.0033
plasma,0,57,5577.1384,839874.0033
plasma,0,58,5577.1384,839874.0033
plasma,0,59,5577.1384,839874.0033
plasma,0,60,5577.1384,839874.0033
plasma,0,61,5577.1384,839874.0033
plasma,0,62,5577.1384,839874.0033
plasma,0,63,5577.1384,839874.0033
plasma,0,64,5577.1384,839874.0033
plasma,0,65,5577.1384,839874.0033
plasma,0,66,5577.1384,839874.0033
plasma,0,67,5577.1384,839874.0033
plasma,0,68,5577.1384,839874.0033
plasma,0,69,5577.1384,839874.0033
plasma,0,70,5577.1384,839874.0033
plasma,0,71,5577.1384,839874.0033
plasma,0,72,5577.1384,839874.0033
plasma,0,73,5577.1384,839874.0033
plasma,0,74,5577.1384,839874.0033
plasma,0,75,5577.1384,839874.0033
plasma,0,76,5577.1384,839874.0033
plasma,0,77,5577.1384,839874.0033
plasma,0,78,5577.1384,839874.0033
plasma,0,79,5577.1384,839874.0033
plasma,0,80,5577.1384,839874.0033
plasma,0,81,5577.1384,839874.0033
plasma,0,82,5577.1384,839874.0033
plasma,0,83,5577.1384,839874.0033
plasma,0,84,5577.1384,839874.0033
plasma,0,85,5577.1384,839874.0033
plasma,0,86,5577.1384,839874.0033
plasma,0,87,5577.1384,839874.0033
plasma,0,88,5577.1384,839874.0033
plasma,0,89,5577.1384,839874.0033
plasma,0,90,5577.1384,839874.0033
plasma,0,91,5577.1384,839874.0033
plasma,0,92,5577.1384,839874.0033
plasma,0,93,5577.1384,839874.0033
plasma,0,94,5577.1384,839874.0033
plasma,0,95,5577.1384,839874.0033
plasma,0,96,5577.1384,839874.0033
plasma,0,97,5577.1384,839874.0033
plasma,0,98,5577.1384,839874.0033
plasma,0,99,5577.1384,839874.0033
plasma,0,100,5577.1384,839874.0033
plasma,0,101,5577.1384,839874.0033
plasma,0,102,5577.1384,839874.0033
plasma,0,103,5577.1384,839874.0033
