domain,i,j,value1,value2
plasma,0,0,3060.7985,695895.6027
plasma,0,1,3060.7985,695895.6027
plasma,0,2,3060.7985,695895.6027
plasma,0,3,3060.7985,695895.6027
plasma,0,4,3060.7985,695895.6027
plasma,0,5,3060.7985,695895.6027
plasma,0,6,3060.7985,695895.6027
plasma,0,7,3060.7985,695895.6027
plasma,0,8,3060.7985,695895.6027
plasma,0,9,3060.7985,695895.6027
plasma,0,10,3060.7985,695895.6027
plasma,0,11,3060.7985,695895.6027
plasma,0,12,3060.7985,695895.6027
plasma,0,13,3060.7985,695895.6027
plasma,0,14,3060.7985,695895.6027
plasma,0,15,3060.7985,695895.6027
plasma,0,16,3060.7985,695895.6027
plasma,0,17,3060.7985,695895.6027
plasma,0,18,3060.7985,695895.6027
plasma,0,19,3060.7985,695895.6027
plasma,0,20,3060.7985,695895.6027
plasma,0,21,3060.7985,695895.6027
plasma,0,22,3060.7985,695895.6027
plasma,0,23,3060.7985,695895.6027
plasma,0,24,3060.7985,695895.6027
plasma,0,25,3060.7985,695895.6027
plasma,0,26,3060.7985,695895.6027
plasma,0,27,3060.7985,695895.6027
plasma,0,28,3060.7985,695895.6027
plasma,0,29,3060.7985,695895.6027
plasma,0,30,3060.7985,695895.6027
plasma,0,31,3060.7985,695895.6027
plasma,0,32,3060.7985,695895.6027
plasma,0,33,3060.7985,695895.6027
plasma,0,34,3060.7985,695895.6027
plasma,0,35,3060.7985,695895.6027
plasma,0,36,3060.7985,695895.6027
plasma,0,37,3060.7985,695895.6027
plasma,0,38,3060.7985,695895.6027
plasma,0,39,3060.7985,695895.6027
plasma,0,40,3060.7985,695895.6027
plasma,0,41,3060.7985,695895.6027
plasma,0,42,3060.7985,695895.6027
plasma,0,43,3060.7985,695895.6027
plasma,0,44,3060.7985,695895.6027
plasma,0,45,3060.7985,695895.6027
plasma,0,46,3060.7985,695895.6027
plasma,0,47,3060.7985,695895.6027
plasma,0,48,3060.7985,695895.6027
plasma,0,49,3060.7985,695895.6027
plasma,0,50,3060.7985,695895.6027
plasma,0,51,3060.7985,695895.6027
plasma,0,52,3060.7985,695895.6027
plasma,0,53,3060.7985,695895.6027
plasma,0,54,3060.7985,695895.6027
plasma,0,55,3060.7985,695895.6027
plasma,0,56,3060.7985,695895.6027
plasma,0,57,3060.7985,695895.6027
plasma,0,58,3060.7985,695895.6027
plasma,0,59,3060.7985,695895.6027
plasma,0,60,3060.7985,695895.6027
plasma,0,61,3060.7985,695895.6027
plasma,0,62,3060.7985,695895.6027
plasma,0,63,3060.7985,695895.6027
plasma,0,64,3060.7985,695895.6027
plasma,0,65,3060.7985,695895.6027
plasma,0,66,3060.7985,695895.6027
plasma,0,67,3060.7985,695895.6027
plasma,0,68,3060.7985,695895.6027
plasma,0,69,3060.7985,695895.6027
plasma,0,70,3060.7985,695895.6027
plasma,0,71,3060.7985,695895.6027
plasma,0,72,3060.7985,695895.6027
plasma,0,73,3060.7985,695895.6027
plasma,0,74,3060.7985,695895.6027
plasma,0,75,3060.7985,695895.6027
plasma,0,76,3060.7985,695895.6027
plasma,0,77,3060.7985,695895.6027
plasma,0,78,3060.7985,695895.6027
plasma,0,79,3060.7985,695895.6027
plasma,0,80,3060.7985,695895.6027
plasma,0,81,3060.7985,695895.6027
plasma,0,82,3060.7985,695895.6027
plasma,0,83,3060.7985,695895.6027
plasma,0,84,3060.7985,695895.6027
plasma,0,85,3060.7985,695895.6027
plasma,0,86,3060.7985,695895.6027
