rho,R_m,psi_Wb,psi_norm,Te_keV,ne_m3,j_phi_Am2
0.757576,7.715152,3.3094399941e+01,2.8028894001e+00,4.538582,5.4086e+19,3.3198e+05
0.777778,7.755556,3.3283974125e+01,2.6236997503e+00,3.901844,5.1605e+19,2.9640e+05
0.797980,7.795960,3.3468419198e+01,2.4493582480e+00,3.298369,4.9058e+19,2.6131e+05
0.818182,7.836364,3.3647600553e+01,2.2799921265e+00,2.732054,4.6446e+19,2.2688e+05
0.838384,7.876768,3.3821384017e+01,2.1157282095e+00,2.206897,4.3769e+19,1.9331e+05
0.858586,7.917172,3.3989637656e+01,1.9566912031e+00,1.726994,4.1026e+19,1.6084e+05
0.878788,7.957576,3.4152230309e+01,1.8030050844e+00,1.296545,3.8219e+19,1.2972e+05
0.898990,7.997980,3.4309032021e+01,1.6547926894e+00,0.919846,3.5345e+19,1.0028e+05
0.919192,8.038384,3.4459915625e+01,1.5121742182e+00,0.601293,3.2407e+19,7.2902e+04
0.939394,8.078788,3.4604754449e+01,1.3752694058e+00,0.345386,2.9403e+19,4.8101e+04
0.959596,8.119192,3.4743424326e+01,1.2441956161e+00,0.156719,2.6334e+19,2.6593e+04
0.979798,8.159596,3.4875803731e+01,1.1190677182e+00,0.039992,2.3200e+19,9.5478e+03
1.000000,8.200000,3.5001771751e+01,1.0000000000e+00,0.000000,2.0000e+19,3.1596e-17
